Training Set,Number of Words Removed,Percentage of Words Removed
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_19.txt,1748,5.396560773054247
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_17.txt,1530,4.7235343150875195
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_6.txt,748,2.3092834429316724
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_9.txt,983,3.0347936155104804
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_5.txt,669,2.0653885338520013
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_4.txt,586,1.8091445154518198
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_18.txt,1574,4.85937451761292
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_13.txt,1314,4.056682411781054
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_2.txt,342,1.0558488469019238
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_7.txt,862,2.6612330585656565
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_14.txt,1340,4.136951622364236
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_11.txt,1111,3.4299651137661726
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_3.txt,417,1.287394646661113
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_10.txt,1036,3.1984193140069834
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_12.txt,1209,3.7325182921181863
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_16.txt,1478,4.562995893921155
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_1.txt,212,0.6545027939859835
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_15.txt,1443,4.454941187366856
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_20.txt,1784,5.507702756938656
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_vs_non_ironic_8.txt,928,2.8649933623537436
