Training Set,Number of Words Removed,Percentage of Words Removed
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_7.txt,902,2.758072407045006
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_6.txt,824,2.5195694716242656
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_1.txt,161,0.49229452054794365
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_8.txt,1111,3.3971379647749558
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_10.txt,1272,3.8894324853228994
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_17.txt,1876,5.736301369863014
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_18.txt,1943,5.941169275929553
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_15.txt,1722,5.265410958904113
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_3.txt,464,1.4187866927592978
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_5.txt,747,2.284124266144815
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_13.txt,1541,4.711961839530332
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_16.txt,1826,5.5834148727984285
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_12.txt,1470,4.494863013698634
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_11.txt,1367,4.1799168297455935
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_9.txt,1189,3.635640900195696
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_20.txt,2107,6.442636986301366
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_2.txt,331,1.012108610567509
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_14.txt,1634,4.996330724070447
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_19.txt,2010,6.146037181996093
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_4.txt,585,1.7887720156555815
