Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_10.txt,13,0.03948487425586222
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_10.txt,1483,4.504312963187942
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_15.txt,165,0.5011541732474853
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_14.txt,27,0.08200704653140178
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_8.txt,108,0.32802818612562135
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_1.txt,3,0.009111894059046222
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_8.txt,54,0.16401409306281778
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_2.txt,42,0.1275665168266329
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_15.txt,283,0.8595553395699227
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_6.txt,13,0.03948487425586222
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_9.txt,18,0.05467136435427733
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_2.txt,14,0.04252217227553956
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_1.txt,29,0.08808164257077067
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_13.txt,33,0.10023083464949423
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_18.txt,195,0.5922731138379334
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_10.txt,30,0.091118940590448
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_2.txt,15,0.04555947029523111
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_8.txt,17,0.05163406633458578
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_6.txt,24,0.07289515247235556
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_8.txt,12,0.036447576236184887
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_7.txt,11,0.03341027821649334
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_14.txt,17,0.05163406633458578
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_20.txt,33,0.10023083464949423
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_2.txt,5,0.015186490098415106
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_18.txt,32,0.09719353662981689
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_20.txt,2419,7.347223909610008
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_7.txt,29,0.08808164257077067
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_14.txt,45,0.1366784108856791
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_11.txt,1607,4.880937917628472
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_20.txt,209,0.6347952861134729
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_11.txt,31,0.09415623861012534
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_7.txt,96,0.29158060988943646
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_4.txt,44,0.13364111286598757
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_12.txt,1711,5.19681691167537
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_3.txt,600,1.822378811809017
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_9.txt,119,0.3614384643421147
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_4.txt,778,2.3630178593123503
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_6.txt,180,0.5467136435427022
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_5.txt,163,0.49507957720811646
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_4.txt,61,0.18527517920058756
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_15.txt,68,0.20653626533835734
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_6.txt,50,0.15186490098408
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_12.txt,257,0.7805855910581982
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_6.txt,26,0.07896974851172445
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_13.txt,1810,5.497509415623867
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_12.txt,25,0.07593245049204711
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_11.txt,14,0.04252217227553956
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_8.txt,1243,3.775361438464344
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_10.txt,36,0.10934272870854045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_13.txt,26,0.07896974851172445
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_9.txt,29,0.08808164257077067
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_18.txt,53,0.16097679504312623
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_19.txt,22,0.06682055643300089
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_9.txt,1347,4.091240432511242
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_18.txt,21,0.06378325841330934
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_3.txt,7,0.02126108613776978
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_2.txt,5,0.015186490098415106
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_2.txt,120,0.36447576236180623
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_13.txt,149,0.4525574049325769
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_5.txt,11,0.03341027821649334
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_11.txt,247,0.7502126108613822
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_14.txt,158,0.47989308710970136
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_11.txt,24,0.07289515247235556
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_9.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_20.txt,330,1.0023083464949565
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_20.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_8.txt,32,0.09719353662981689
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_19.txt,39,0.11845462276758667
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_14.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_10.txt,23,0.06985785445267823
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_2.txt,434,1.3181873405418543
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_16.txt,69,0.20957356335803468
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_2.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_4.txt,21,0.06378325841330934
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_15.txt,35,0.10630543068886311
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_4.txt,9,0.027335682177138665
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_3.txt,19,0.05770866237395467
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_10.txt,239,0.7259142267039209
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_12.txt,32,0.09719353662981689
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_12.txt,61,0.18527517920058756
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_17.txt,189,0.5740493257198409
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_7.txt,52,0.1579394970234489
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_20.txt,57,0.1731259871218498
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_18.txt,38,0.11541732474790933
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_4.txt,152,0.4616692989916231
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_8.txt,206,0.6256833920544267
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_6.txt,1059,3.216498602842904
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_15.txt,18,0.05467136435427733
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_16.txt,290,0.8808164257076925
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_15.txt,1969,5.9804398007532455
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_4.txt,8,0.024298384157447117
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_1.txt,11,0.03341027821649334
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_18.txt,71,0.21564815939740356
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_3.txt,135,0.41003523265702313
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_14.txt,1890,5.740493257198395
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_12.txt,15,0.04555947029523111
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_1.txt,214,0.649981776211888
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_14.txt,65,0.19742437127931112
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_15.txt,28,0.08504434455109333
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_13.txt,63,0.19134977523994223
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_11.txt,38,0.11541732474790933
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_9.txt,223,0.6773174583890125
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_11.txt,134,0.4069979346373458
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_19.txt,2324,7.058680597740249
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_12.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_17.txt,51,0.15490219900377156
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_16.txt,36,0.10934272870854045
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_4.txt,20,0.060745960393632004
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_14.txt,278,0.8443688494715076
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_7.txt,191,0.5801239217592098
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_19.txt,72,0.2186854574170809
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_19.txt,202,0.6135341999757031
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_8.txt,28,0.08504434455109333
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_3.txt,18,0.05467136435427733
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_17.txt,32,0.09719353662981689
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_10.txt,127,0.385736848499576
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_6.txt,10,0.030372980196816002
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_9.txt,54,0.16401409306281778
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_6.txt,86,0.26120762969262046
