Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_16.txt,259,0.7996048285017423
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_8.txt,197,0.6081936340341514
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_3.txt,55,0.16980025315673686
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_9.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_12.txt,15,0.04630915995183216
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_7.txt,69,0.2130221357784592
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_3.txt,14,0.04322188262172233
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_7.txt,26,0.08026921058318237
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_14.txt,31,0.09570559723380256
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_12.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_4.txt,8,0.024698218640978098
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_18.txt,1578,4.871723626933402
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_7.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_18.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_9.txt,991,3.0594918341514585
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_20.txt,27,0.08335648791330641
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_19.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_11.txt,99,0.3056404556821377
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_12.txt,109,0.3365132289833639
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_14.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_5.txt,9,0.027785495971102137
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_14.txt,21,0.06483282393257639
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_8.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_4.txt,40,0.1234910932049047
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_15.txt,42,0.12966564786515278
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_1.txt,4,0.012349109320496154
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_13.txt,38,0.11731653854465662
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_5.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_13.txt,1311,4.047420579790682
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_14.txt,36,0.11114198388440855
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_10.txt,17,0.052483714612080234
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_6.txt,18,0.05557099194220427
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_16.txt,33,0.10188015189405064
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_11.txt,28,0.08644376524343045
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_20.txt,285,0.8798740390849247
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_15.txt,1444,4.45802846469698
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_11.txt,235,0.725510172578808
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_2.txt,21,0.06483282393257639
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_17.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_10.txt,92,0.28402951437126944
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_13.txt,30,0.09261831990367853
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_8.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_1.txt,29,0.08953104257355449
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_3.txt,7,0.02161094131085406
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_10.txt,23,0.07100737859282447
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_1.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_9.txt,22,0.06792010126270043
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_11.txt,1122,3.463925164397523
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_12.txt,29,0.08953104257355449
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_9.txt,30,0.09261831990367853
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_5.txt,11,0.033960050631350214
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_2.txt,12,0.03704732796147425
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_20.txt,52,0.16053842116637895
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_2.txt,44,0.13584020252538664
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_3.txt,411,1.2688709826803688
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_13.txt,20,0.06174554660245235
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_10.txt,23,0.07100737859282447
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_14.txt,253,0.7810811645210123
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_6.txt,13,0.04013460529159829
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_15.txt,18,0.05557099194220427
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_4.txt,17,0.052483714612080234
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_15.txt,130,0.4013460529159403
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_12.txt,1222,3.7726528974097704
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_11.txt,34,0.10496742922416047
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_19.txt,37,0.11422926121453258
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_5.txt,669,2.0653885338520013
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_1.txt,5,0.015436386650605982
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_9.txt,16,0.049396437281956196
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_5.txt,52,0.16053842116637895
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_18.txt,25,0.07718193325305833
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_1.txt,3,0.009261831990372116
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_18.txt,21,0.06483282393257639
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_17.txt,275,0.8490012657836985
