Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_15.txt,57,0.1731259871218498
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_20.txt,62,0.1883124772202649
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,36,0.10934272870854045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_14.txt,30,0.091118940590448
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_15.txt,100,0.30372980196817423
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_9.txt,20,0.060745960393632004
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_13.txt,195,0.5922731138379334
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_6.txt,79,0.23994654355485068
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_19.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_7.txt,119,0.3614384643421147
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_13.txt,35,0.10630543068886311
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_4.txt,59,0.17920058316121867
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_1.txt,2,0.006074596039368885
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_10.txt,93,0.28246871583039024
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,56,0.17008868910217245
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,27,0.08200704653140178
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_19.txt,194,0.5892358158182418
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,125,0.37966225246020713
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,140,0.42522172275543824
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_4.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_11.txt,82,0.2490584376138969
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,74,0.22476005345644978
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,223,0.6773174583890125
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_1.txt,22,0.06682055643300089
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,88,0.26728222573198934
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_(ratio)_10.txt,76,0.23083464949580446
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_2.txt,10,0.030372980196816002
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_5.txt,18,0.05467136435427733
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_7.txt,15,0.04555947029523111
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_16.txt,216,0.6560563722512427
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_12.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_(ratio)_13.txt,94,0.2855060138500818
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_(ratio)_14.txt,36,0.10934272870854045
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_8.txt,87,0.264244927712312
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_2.txt,37,0.11238002672821779
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_ironic_vs_non_ironic_(ratio)_14.txt,40,0.12149192078726401
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_5.txt,9,0.027335682177138665
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_(ratio)_9.txt,90,0.2733568217713582
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_11.txt,53,0.16097679504312623
