Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_16.txt,167,0.5106409001956962
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_10.txt,1387,4.241071428571431
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_vs_ironic_19.txt,47,0.1437133072407022
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_non_ironic_vs_ironic_(ratio)_6.txt,83,0.25379158512720323
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_17.txt,204,0.623776908023487
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_15.txt,165,0.5045254403131167
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,36,0.11007827788650104
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_vs_ironic_(ratio)_16.txt,96,0.29354207436399804
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_14.txt,27,0.08255870841487933
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_vs_ironic_5.txt,11,0.03363502935420115
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_10.txt,125,0.3822162426614426
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_14.txt,30,0.0917318982387485
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_non_ironic_vs_ironic_20.txt,808,2.4706457925636016
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_vs_ironic_(ratio)_7.txt,55,0.16817514677103418
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_non_ironic_vs_ironic_(ratio)_5.txt,11,0.03363502935420115
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_15.txt,39,0.11925146771037021
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_9.txt,20,0.06115459882583707
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_15.txt,2747,8.399584148727982
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_7.txt,87,0.2660225048923621
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_ironic_18.txt,3180,9.723581213307241
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_non_ironic_vs_ironic_(ratio)_13.txt,156,0.47700587084148083
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_non_ironic_vs_ironic_15.txt,567,1.733732876712324
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_vs_non_ironic_(ratio)_13.txt,195,0.5962573385518652
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_vs_ironic_(ratio)_15.txt,47,0.1437133072407022
