Training Set,Number of Words Removed,Percentage of Words Removed
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_8.txt,336,1.0273972602739718
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_14.txt,496,1.5166340508806258
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_20.txt,786,2.403375733855185
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_10.txt,375,1.146648727984342
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_11.txt,412,1.2597847358121328
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_5.txt,253,0.7736056751467686
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_1.txt,30,0.0917318982387485
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_3.txt,153,0.46783268101761166
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_16.txt,563,1.721501956947165
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_2.txt,76,0.23238747553816097
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_7.txt,319,0.9754158512720181
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_17.txt,641,1.9600048923679054
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_15.txt,551,1.68480919765166
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_13.txt,472,1.4432485322896298
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_9.txt,353,1.0793786692759255
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_12.txt,427,1.305650684931507
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_4.txt,229,0.7002201565557726
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_19.txt,775,2.369740704500984
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_6.txt,269,0.8225293542074326
CONTROL-PERCENTAGE-SemEval2018-T3-train-taskA_emoji_non_ironic_vs_ironic_18.txt,708,2.1648727984344447
