Training Set,Number of Words Removed,Percentage of Words Removed
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_10.txt,13,0.03948487425586222
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_16.txt,171,0.5193779613655636
SemEval2018-T3-train-taskA_emoji_1-gram_frequency_ironic_10.txt,1483,4.504312963187942
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_15.txt,57,0.1731259871218498
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_16.txt,320,0.9719353662981405
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_ironic_vs_non_ironic_(ratio)_20.txt,62,0.1883124772202649
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_17.txt,206,0.6256833920544267
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_non_ironic_11.txt,247,0.7502126108613822
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_15.txt,165,0.5011541732474853
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_8.txt,208,0.6317579880937956
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_17.txt,36,0.10934272870854045
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_14.txt,27,0.08200704653140178
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_non_ironic_10.txt,125,0.37966225246020713
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_14.txt,30,0.091118940590448
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_ironic_vs_non_ironic_(ratio)_15.txt,100,0.30372980196817423
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_ironic_vs_non_ironic_3.txt,66,0.20046166929898845
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_9.txt,31,0.09415623861012534
SemEval2018-T3-train-taskA_emoji_1-emoji_frequency_non_ironic_20.txt,342,1.0387559227311414
SemEval2018-T3-train-taskA_emoji_4-emoji_frequency_ironic_vs_non_ironic_12.txt,34,0.10326813266917156
SemEval2018-T3-train-taskA_emoji_3-gram_frequency_non_ironic_15.txt,39,0.11845462276758667
SemEval2018-T3-train-taskA_emoji_4-gram_frequency_ironic_vs_non_ironic_(ratio)_9.txt,20,0.060745960393632004
SemEval2018-T3-train-taskA_emoji_2-gram_frequency_ironic_vs_non_ironic_7.txt,91,0.27639411979103556
SemEval2018-T3-train-taskA_emoji_2-emoji_frequency_non_ironic_6.txt,73,0.22172275543675823
SemEval2018-T3-train-taskA_emoji_3-emoji_frequency_6.txt,48,0.14579030494472534
