Position	Frequency	n-emoji
1	48.24561403508772	:person_raising_hand:
2	28.914879792072778	:face_blowing_a_kiss:
3	24.12280701754386	:purple_heart:
4	21.44249512670565	:beaming_face_with_smiling_eyes:
5	18.356075373619234	:pouting_face:
6	14.8635477582846	:red_heart:
7	14.8635477582846	:OK_hand:
8	14.457439896036389	:raising_hands:
9	13.564002599090319	:oncoming_fist:
10	13.157894736842104	:wrapped_gift:
11	13.157894736842104	:tropical_drink:
12	12.264457439896036	:grinning_squinting_face:
13	12.264457439896036	:Christmas_tree:
14	12.264457439896036	:two_hearts:
15	11.37102014294997	:Santa_Claus:
16	10.964912280701755	:squinting_face_with_tongue:
17	9.178037686809617	:pensive_face:
18	7.878492527615336	:clapping_hands:
19	6.985055230669265	:smiling_face_with_sunglasses:
20	6.578947368421052	:airplane:
21	6.578947368421052	:sparkles:
22	6.578947368421052	:flexed_biceps:
23	6.578947368421052	:snowflake:
24	6.091617933723196	:smirking_face:
25	5.685510071474985	:musical_notes:
26	5.685510071474985	:fire:
27	4.792072774528916	:grinning_face_with_sweat:
28	4.792072774528916	:party_popper:
29	4.385964912280702	:wine_glass:
30	4.385964912280702	:crown:
31	4.385964912280702	:SOON_arrow:
32	3.898635477582845	:sleeping_face:
33	3.4925276153346325	:winking_face:
34	3.4925276153346325	:person_gesturing_NO:
35	3.4925276153346325	:kiss_mark:
36	3.4925276153346325	:folded_hands:
37	3.4925276153346325	:umbrella_with_rain_drops:
38	2.192982456140351	:two_women_holding_hands:
39	2.192982456140351	:globe_showing_Asia-Australia:
40	2.192982456140351	:face_without_mouth:
41	2.192982456140351	:heart_with_arrow:
42	2.192982456140351	:basketball:
43	2.192982456140351	:rocket:
44	2.192982456140351	:princess:
45	2.192982456140351	:white_heavy_check_mark:
46	2.192982456140351	:cat_face:
47	2.192982456140351	:dog_face:
48	2.192982456140351	:high_voltage:
49	2.192982456140351	:SOS_button:
50	2.192982456140351	:thought_balloon:
51	2.192982456140351	:trophy:
52	2.192982456140351	:baseball:
53	2.192982456140351	:smiling_cat_face_with_heart-eyes:
54	2.192982456140351	:musical_note:
55	2.192982456140351	:microphone:
56	2.192982456140351	:person_taking_bath:
57	2.192982456140351	:headphone:
58	2.192982456140351	:cloud:
59	2.192982456140351	:police_car:
60	2.192982456140351	:bomb:
61	2.192982456140351	:dizzy_face:
62	2.192982456140351	:musical_score:
63	2.192982456140351	:person_walking:
64	2.192982456140351	:electric_plug:
65	2.192982456140351	:heart_suit:
66	2.192982456140351	:right_arrow:
67	2.192982456140351	:camera:
68	2.192982456140351	:teacup_without_handle:
69	2.192982456140351	:growing_heart:
70	2.192982456140351	:fork_and_knife:
71	2.192982456140351	:oncoming_bus:
72	2.192982456140351	:snowman_without_snow:
73	2.192982456140351	:money_bag:
74	2.192982456140351	:person_bowing:
75	2.192982456140351	:backhand_index_pointing_right:
76	2.192982456140351	:cross_mark:
77	2.192982456140351	:heavy_large_circle:
78	2.192982456140351	:backhand_index_pointing_left:
79	2.192982456140351	:bust_in_silhouette:
80	1.2995451591942824	:hundred_points:
81	1.2995451591942824	:sweat_droplets:
82	1.2995451591942824	:zzz:
83	1.2995451591942824	:green_heart:
84	1.2995451591942824	:grimacing_face:
85	1.2995451591942824	:face_savoring_food:
86	0.8122157244964257	:winking_face_with_tongue:
87	-0.4873294346978554	:grinning_face_with_smiling_eyes:
88	-0.4873294346978554	:persevering_face:
89	-0.8934372969460687	:smiling_face_with_halo:
90	-0.8934372969460687	:astonished_face:
91	-0.8934372969460687	:sun:
92	-0.8934372969460687	:nail_polish:
93	-0.8934372969460687	:droplet:
94	-0.8934372969460687	:anxious_face_with_sweat:
95	-0.8934372969460687	:frog_face:
96	-0.8934372969460687	:kitchen_knife:
97	-0.9746588693957108	:smiling_face:
98	-2.6803118908382073	:person_tipping_hand:
99	-2.6803118908382073	:confused_face:
100	-2.6803118908382073	:confounded_face:
101	-2.6803118908382073	:victory_hand:
102	-3.5737491877842746	:speak-no-evil_monkey:
103	-3.9798570500324884	:hot_beverage:
104	-3.9798570500324884	:disappointed_face:
105	-4.8732943469785575	:skull:
106	-5.766731643924627	:grinning_face_with_big_eyes:
107	-5.766731643924627	:face_screaming_in_fear:
108	-7.0662768031189085	:woman_dancing:
109	-7.0662768031189085	:crying_face:
110	-7.147498375568549	:thumbs_up:
111	-9.746588693957115	:smiling_face_with_smiling_eyes:
112	-10.152696556205328	:thumbs_down:
113	-10.23391812865497	:weary_face:
114	-10.23391812865497	:smiling_face_with_heart-eyes:
115	-14.619883040935674	:loudly_crying_face:
116	-19.411955815464587	:face_with_medical_mask:
117	-20.792722547108518	:see-no-evil_monkey:
118	-22.173489278752427	:face_with_tears_of_joy:
119	-23.391812865497077	:pistol:
120	-28.671215074723847	:expressionless_face:
121	-30.458089668615987	:flushed_face:
122	-73.66796621182586	:unamused_face:
