Position	Frequency	n-gram
1	217	love
2	178	like
3	173	day
4	165	get
5	129	one
6	117	great
7	117	people
8	106	good
9	101	time
10	101	today
11	97	christmas
12	96	know
13	94	see
14	92	go
16	89	really
17	87	would
18	86	going
19	85	oh
20	81	work
21	80	new
22	79	think
23	79	back
24	77	much
25	77	fun
26	77	well
27	75	year
28	74	right
29	71	still
30	70	need
31	70	lol
32	68	thanks
33	67	way
34	66	got
35	64	life
36	62	want
37	60	us
38	58	make
39	57	better
40	57	even
41	56	wait
42	54	morning
43	53	never
44	53	night
45	53	start
46	53	rt
47	52	thing
48	51	via
49	50	yeah
50	50	look
51	48	happy
52	48	u
53	48	last
54	47	twitter
55	47	always
56	46	getting
57	46	feel
58	46	someone
59	45	nice
60	44	sleep
61	44	game
62	43	am
63	41	best
64	41	another
65	40	please
66	39	ever
67	39	tonight
68	39	bad
69	38	nothing
70	38	first
71	38	world
72	38	week
73	38	say
74	38	man
75	38	every
76	37	hours
77	36	could
78	36	things
79	36	wow
80	36	done
81	36	next
82	35	big
83	35	come
84	35	take
85	35	tomorrow
86	35	keep
87	34	let
88	34	free
89	34	two
90	33	sure
91	33	rbrnetwork
92	33	school
93	32	made
94	31	find
95	30	makes
96	30	looks
97	30	hope
98	30	days
99	30	family
100	30	home
101	29	thank
102	29	end
103	29	shit
104	29	yet
106	28	gonna
107	28	trying
108	28	funny
109	28	w
110	28	working
111	28	stop
112	27	feeling
113	27	guys
114	27	yay
115	27	car
116	27	awesome
117	27	ready
118	27	face
119	27	actually
120	26	yes
121	26	money
122	26	show
123	26	real
124	26	talk
125	26	everyone
126	26	read
127	25	guess
128	25	tell
129	25	playing
130	25	lot
131	25	name
132	25	making
133	25	enough
134	25	many
135	25	news
136	25	hate
137	25	anything
138	25	mean
139	25	word
140	25	everything
141	24	guy
142	24	p
143	24	check
144	24	job
145	24	says
146	24	amazing
147	24	haha
148	23	long
149	23	also
150	23	went
151	23	girl
152	23	already
153	23	early
154	23	bed
155	23	tweet
156	23	follow
157	23	wrong
158	23	glad
159	23	give
160	22	something
161	22	put
162	22	watching
163	22	hard
164	22	waking
165	22	music
166	22	fuck
167	22	coming
168	22	n
170	22	help
171	21	old
172	21	god
173	21	service
174	21	watch
175	21	sick
176	21	years
177	21	gotta
178	21	believe
179	21	excited
180	20	break
181	20	else
182	20	times
183	20	#
184	20	little
185	20	said
186	20	hour
187	20	change
188	20	use
189	20	pretty
190	20	must
191	20	looking
192	20	cool
193	19	xmas
194	19	media
195	19	phone
196	19	might
197	19	friday
198	19	friends
199	19	part
200	19	play
201	19	sounds
202	19	remember
203	19	half
204	19	favorite
205	19	monday
207	18	call
208	18	thought
209	18	super
210	18	cause
211	18	#christmas
212	18	though
213	18	miss
215	18	different
216	18	loving
217	18	hair
218	18	ok
219	18	win
220	18	person
221	17	hey
222	17	cold
224	17	kids
225	17	stuff
226	17	police
228	17	b
229	17	seems
230	17	dont
232	17	place
234	17	class
235	17	team
236	17	girls
237	17	since
238	17	reuters
239	17	x
240	17	worth
241	17	finally
242	16	found
243	16	hit
