Position	Frequency	n-gram
1	7.643862474755995	love
2	4.960335750122919	great
3	3.5760233163025905	fun
4	3.3156290395213532	day
5	2.3990117556060175	oh
6	2.2102631760365643	work
7	1.9336322541137738	thanks
8	1.8689335021402302	rbrnetwork
9	1.829513266618883	via
10	1.7764198629613985	well
11	1.767377991650755	people
12	1.574687388529168	good
13	1.5364249772141942	morning
14	1.4851786710364423	yay
15	1.482863022623695	really
16	1.4297696189662101	im
17	1.4079645751331356	start
18	1.4007698013022256	would
19	1.3921964809245966	sleep
20	1.3803704102681924	hours
21	1.3764283867160576	wow
22	1.3622866676469063	today
23	1.347676397644741	wait
24	1.3469871243713811	like
25	1.331908303436202	nice
26	1.300372115019124	working
27	1.28854604436272	waking
28	1.2535363833265216	time
29	1.2159632452849072	think
30	1.1471017474188836	getting
31	1.1014238399326546	going
32	1.0766138744134723	cant
33	1.0733611241346972	check
34	1.062003604411307	way
35	0.9792211098164779	glad
36	0.9713370627122082	monday
37	0.9646108398143124	#the
38	0.9622951914015653	feel
39	0.9578846169164168	rt
40	0.9347010265366222	school
41	0.922874955880218	awesome
42	0.9110488852238137	hour
43	0.9003806387737832	#a
44	0.9003806387737832	reuters
45	0.8901809432567664	another
46	0.8885545681173789	follow
47	0.8720972006354808	christmas
48	0.8428766606311497	super
49	0.838934637079015	final
50	0.8377768128726415	always
51	0.8220087186641025	nothing
52	0.802298600903429	yet
53	0.7967302022119066	tonight
54	0.7944145537991595	job
55	0.7809621080033675	u
56	0.7798042837969942	#is
57	0.7786464595906205	wonderful
58	0.7612519902426937	make
59	0.7600941660363203	playing
60	0.7538364940714386	big
61	0.7262423292064956	service
62	0.7234581298607343	#eu
63	0.7139477076170775	new
64	0.6733696478893563	still
65	0.6733696478893563	need
66	0.6654856007850869	right
67	0.6631699523723398	theoldbreed
68	0.6631699523723398	#to
69	0.6592279288202051	understand
70	0.6552859052680704	youtube
71	0.6541280810616967	finals
72	0.6485596823701743	look
73	0.6450862097510537	someone
74	0.6395178110595314	long
75	0.6355757875073966	anything
76	0.6174920448861108	thank
77	0.6174920448861108	makes
78	0.613550021333976	funny
79	0.613550021333976	car
80	0.6096079977818412	talk
81	0.6040395990903189	ill
82	0.6035710481573044	dont
83	0.6028817748839452	ananvii
84	0.6028817748839452	dolphinman
85	0.6017239506775717	sick
86	0.597781927125437	half
87	0.5938399035733023	police
88	0.5915242551605555	thats
89	0.5910557042275411	#love
90	0.5910557042275411	seen
91	0.5910557042275411	x
92	0.5898978800211676	far
93	0.5859558564690327	write
94	0.5859558564690327	totally
95	0.5831716571232716	w
96	0.5752876100190023	p
97	0.5674035629147326	could
98	0.5634615393625979	hope
99	0.5509461954328345	see
100	0.5493198202934466	feeling
101	0.5493198202934466	yes
102	0.5493198202934466	theres
103	0.5481619960870732	ive
104	0.5425935973955507	#notcies
105	0.5425935973955507	freeman
106	0.5425935973955507	timowensby
107	0.5414357731891771	early
108	0.5414357731891771	hes
109	0.538651573843416	vs
110	0.5374937496370424	times
111	0.5374937496370424	excited
112	0.536335925430669	thing
113	0.5296097025327731	around
114	0.5296097025327731	class
115	0.5296097025327731	lovely
116	0.5296097025327731	using
117	0.5245098547742648	us
118	0.5228834796348771	n
119	0.5217256554285035	able
120	0.5189414560827423	girl
121	0.5177836318763688	fix
122	0.5166258076699952	best
123	0.511057408978473	lot
124	0.5008577134614562	two
125	0.4992313383220687	find
126	0.4985420650487091	know
127	0.4850896192529175	tell
128	0.4823054199071562	com
129	0.4823054199071562	#new
130	0.47836339635502145	bc
131	0.4772055721486479	coming
132	0.47604774794227445	youre
133	0.4744213728028867	literally
134	0.4732635485965132	help
135	0.47047934925075197	idea
136	0.4693215250443785	media
137	0.4693215250443785	sounds
138	0.4665373256986173	birthday
139	0.4653795014922437	gets
140	0.4653795014922437	minutes
141	0.4625953021464826	whats
142	0.4625953021464826	win
143	0.461437477940109	whole
144	0.461437477940109	pay
145	0.461437477940109	ppl
146	0.461437477940109	perfect
147	0.45865327859434785	wont
148	0.45865327859434785	change
149	0.45355343083583954	studying
150	0.4445115595251966	next
151	0.4428851843858088	end
152	0.43894316083367413	doesnt
153	0.43894316083367413	please
154	0.4366275124209271	sure
155	0.43500113728153933	free
156	0.43500113728153933	tomorrow
157	0.42711709017726995	every
158	0.4220172424187617	liked
159	0.4220172424187617	thelexzane
160	0.4220172424187617	joehilgerman
161	0.4220172424187617	abptrocket
162	0.4220172424187617	parkzthedon
163	0.4220172424187617	#but
164	0.4220172424187617	speak
165	0.4220172424187617	wwwmonstermmorpg
166	0.4220172424187617	#be
167	0.4220172424187617	#teenanalcasting
168	0.4220172424187617	justin
169	0.4220172424187617	#this
170	0.4220172424187617	#you
171	0.4220172424187617	#im
172	0.4220172424187617	jamieyuccas
173	0.4180752188666269	foxnews
174	0.41413319531449216	bit
175	0.41413319531449216	dad
176	0.4101911717623574	forget
177	0.4101911717623574	smile
178	0.4101911717623574	drinking
179	0.40624914821022273	#ferguson
180	0.4050913240038492	black
181	0.4050913240038492	drive
182	0.4039334997974757	yeah
183	0.4011493004517145	late
184	0.4011493004517145	awake
185	0.39720727689957974	joke
186	0.39720727689957974	top
187	0.39326525334744505	surprise
188	0.39326525334744505	tweets
189	0.39326525334744505	law
190	0.39326525334744505	xbox
191	0.38932322979531025	sony
192	0.38932322979531025	peaceful
193	0.38932322979531025	busy
194	0.38932322979531025	peoples
195	0.38747613231557754	get
196	0.3825970068974145	shit
197	0.36798673689524874	lol
198	0.3668289126888754	keep
199	0.3645132642761284	guys
200	0.3628868891367407	first
201	0.36172906493036716	#over
202	0.36172906493036716	vhsupersonic
203	0.36172906493036716	<laugh>
204	0.36172906493036716	#and
205	0.36172906493036716	neilby
206	0.36172906493036716	#are
207	0.36172906493036716	website
208	0.36172906493036716	size
209	0.36172906493036716	#happy
210	0.36172906493036716	amen
211	0.36172906493036716	#its
212	0.36172906493036716	#my
213	0.36172906493036716	#photo
214	0.3605712407239936	ready
215	0.3605712407239936	news
216	0.36010268979097937	year
217	0.3577870413782325	#on
