Position	Frequency	n-gram
1	22.373113237844436	waking
2	14.915408825229623	final
3	13.317329308240735	yay
4	9.588477101933329	fix
5	9.055783929603699	monday
6	8.52309075727407	studying
7	7.990397584944441	super
8	7.457704412614811	wonderful
9	7.457704412614811	sony
10	7.457704412614811	peaceful
11	7.457704412614811	busy
12	7.457704412614811	peoples
13	6.392318067955554	working
14	6.392318067955554	woke
15	6.392318067955554	shopping
16	6.392318067955554	hold
17	6.392318067955554	welcome
18	6.392318067955554	tweeted
19	6.392318067955554	favourite
20	6.392318067955554	double
21	6.392318067955552	fun
22	6.037189286402466	hour
23	5.859624895625923	write
24	5.859624895625923	totally
25	5.326931723296294	able
26	5.326931723296294	fake
27	5.326931723296294	grand
28	5.326931723296294	sweet
29	5.326931723296294	picked
30	5.326931723296294	google
31	5.326931723296294	round
32	5.326931723296294	sooo
33	5.326931723296294	ignored
34	5.326931723296294	security
35	5.326931723296294	hospital
36	5.326931723296294	speech
37	5.326931723296294	society
38	5.326931723296294	coin
39	5.326931723296294	gas
40	5.326931723296294	essay
41	5.113854454364443	great
42	5.06058513713148	glad
43	4.616674160190121	finals
44	4.261545378637035	far
45	4.261545378637035	surprise
46	4.261545378637035	tweets
47	4.261545378637035	law
48	4.261545378637035	xbox
49	4.261545378637035	husband
50	4.261545378637035	dare
51	4.261545378637035	cnn
52	4.261545378637035	#blessed
53	4.261545378637035	search
54	4.261545378637035	parking
55	4.261545378637035	direction
56	4.261545378637035	askplaystation
57	4.261545378637035	blood
58	4.261545378637035	appreciate
59	4.261545378637035	shocking
60	4.261545378637035	wrote
61	4.261545378637035	rangers
62	4.261545378637035	hr
63	4.261545378637035	straight
64	4.261545378637035	player
65	4.261545378637035	husbands
66	4.261545378637035	row
67	4.261545378637035	special
68	4.261545378637035	tshirt
69	4.261545378637035	keeping
70	4.261545378637035	sex
71	4.261545378637035	afford
72	4.261545378637035	french
73	4.261545378637035	grandma
74	4.261545378637035	window
75	4.261545378637035	prize
76	4.261545378637035	trust
77	4.261545378637035	five
78	4.261545378637035	price
79	4.261545378637035	poor
80	4.261545378637035	library
81	4.261545378637035	ticket
82	4.261545378637035	#cuba
83	4.261545378637035	eye
84	4.261545378637035	jk
85	4.261545378637035	mother
86	4.261545378637035	tax
87	4.261545378637035	sale
88	4.261545378637035	worse
89	4.261545378637035	minute
90	4.261545378637035	youll
91	4.2615453786370345	wow
92	3.8620254993898135	hours
93	3.7288522063074057	second
94	3.7288522063074057	bus
95	3.7288522063074057	happens
96	3.7288522063074057	broken
97	3.5875254463015853	love
98	3.5512878155308627	awesome
99	3.5512878155308627	whole
100	3.5512878155308627	pay
101	3.5512878155308627	ppl
102	3.5512878155308627	perfect
103	3.4625056201425912	police
104	3.4092363029096284	service
105	3.196159033977777	around
106	3.196159033977777	class
107	3.196159033977777	lovely
108	3.196159033977777	using
109	3.196159033977777	number
110	3.196159033977777	running
111	3.196159033977777	later
112	3.196159033977777	justice
113	3.196159033977777	surprised
114	3.196159033977777	feeding
115	3.196159033977777	amazingly
116	3.196159033977777	earlier
117	3.196159033977777	event
118	3.196159033977777	frozen
119	3.196159033977777	hat
120	3.196159033977777	sun
121	3.196159033977777	officers
122	3.196159033977777	four
123	3.196159033977777	nights
124	3.196159033977777	lesson
125	3.196159033977777	entire
126	3.196159033977777	activity
127	3.196159033977777	pop
128	3.196159033977777	science
129	3.196159033977777	rainy
130	3.196159033977777	fail
131	3.196159033977777	relations
132	3.196159033977777	loud
133	3.196159033977777	pics
134	3.196159033977777	present
135	3.196159033977777	eve
136	3.196159033977777	conference
137	3.196159033977777	conversation
138	3.196159033977777	boyfriend
139	3.196159033977777	happen
140	3.196159033977777	university
141	3.196159033977777	irrelevant
142	3.196159033977777	st
143	3.196159033977777	grow
144	3.196159033977777	practice
145	3.196159033977777	except
146	3.196159033977777	crew
147	3.196159033977777	abt
148	3.196159033977777	suffering
149	3.196159033977777	cheers
150	3.196159033977777	brought
151	3.196159033977777	nations
152	3.196159033977777	effort
153	3.196159033977777	cough
154	3.196159033977777	hardly
155	3.196159033977777	dc
156	3.196159033977777	#fb
157	3.196159033977777	rn
158	3.196159033977777	jack
159	3.196159033977777	killing
160	3.196159033977777	c
161	3.196159033977777	fabulous
162	3.196159033977777	released
163	3.196159033977777	shut
164	3.196159033977777	send
165	3.196159033977777	indian
166	3.196159033977777	hindu
167	3.196159033977777	#mtvstars
168	3.196159033977777	limit
169	3.196159033977777	agree
170	3.196159033977777	employee
171	3.196159033977777	blast
172	3.196159033977777	normal
173	3.196159033977777	nation
174	3.196159033977777	yellow
175	3.196159033977777	todays
176	3.196159033977777	tuesday
