Position	Frequency	n-gram
1	21	cant wait
2	12	love waking
4	9	hours sleep
5	9	good thing
6	9	great day
7	9	dont know
8	8	way start
9	8	great start
10	8	start day
11	8	much fun
12	7	nice see
13	7	gotta love
14	7	love working
15	7	sounds like
16	7	always fun
17	7	looks like
18	6	last night
19	6	act like
20	6	nothing like
21	6	great way
22	6	start morning
23	5	last day
24	5	wait see
25	5	years ago
26	5	well done
28	4	thank god
29	4	finals week
30	4	oh yeah
31	4	oh love
33	4	well thats
34	4	ive got
35	4	feel like
36	4	going great
37	4	merry christmas
38	4	start new
39	4	yet another
40	4	wide awake
41	4	theres nothing
42	4	feeling like
43	4	great job
44	4	customer service
45	4	dont love
46	4	next year
47	4	getting better
48	4	better better
49	4	looking forward
50	4	get ready
51	4	first day
52	4	new years
53	4	two hours
54	3	love cold
55	3	wonderful day
56	3	work day
57	3	going bed
58	3	end well
59	3	today going
60	3	love people
61	3	going fun
62	3	give us
63	3	xbox live
64	3	love able
65	3	able sleep
66	3	absolutely love
68	3	feel bad
69	3	today fun
70	3	back home
71	3	fun thing
72	3	far today
73	3	social media
74	3	christmas day
75	3	cant sleep
76	3	five minutes
77	3	always wanted
78	3	north korea
79	3	year old
80	3	christmas shopping
81	3	new year
82	3	fun love
83	3	always nice
84	3	every day
85	3	coming home
86	3	perfect sense
88	3	oh joy
89	3	really want
90	3	dont get
91	3	free speech
92	3	like million
93	3	good luck
94	3	great week
95	3	cant believe
96	3	never get
97	3	early morning
98	3	like much
99	3	youre great
100	3	wow really
101	3	get go
102	3	going go
104	3	work love
105	3	keeps getting
106	3	back work
107	3	cant even
108	3	oh look
109	3	gonna great
110	3	another day
111	3	good time
112	3	let know
113	3	wow love
114	3	well today
115	3	dont think
116	3	way make
117	3	great time
118	3	coin lecoincanard
119	3	lecoincanard coin
120	3	dont wanna
122	3	make feel
123	3	day going
124	2	nothing makes
125	2	cold winter
126	2	ive learned
127	2	day starting
128	2	yay another
129	2	oh wait
130	2	russell brand
131	2	phone bill
132	2	asked god
133	2	god protect
134	2	protect enemies
135	2	started losing
136	2	losing friends
137	2	going wonderful
138	2	like people
140	2	lets get
141	2	time year
142	2	feel great
143	2	ive missed
144	2	loving life
145	2	four hours
146	2	fun time
147	2	like oh
148	2	weather love
149	2	blowing nose
151	2	forward waking
152	2	waking early
153	2	love listening
154	2	fox news
155	2	last tweet
156	2	thank goodness
157	2	hard trying
158	2	oil gas
159	2	gas sector
160	2	new book
161	2	lovely morning
162	2	day christmas
163	2	love coming
164	2	coming work
165	2	today dont
166	2	dont feel
167	2	anything people
168	2	people school
169	2	cia methods
170	2	paper semester
171	2	thanks mother
172	2	mother nature
173	2	people get
175	2	really good
176	2	bbc news
177	2	road safety
178	2	safety campaign
179	2	campaign donkey
180	2	donkey killed
181	2	killed car
182	2	dont want
183	2	half world
184	2	ruining life
185	2	really excited
186	2	ive watched
187	2	working hard
188	2	one time
189	2	hour drive
190	2	like great
191	2	love love
192	2	good old
193	2	days thats
194	2	thats always
195	2	like crap
196	2	pouring rain
197	2	wonderful time
198	2	saying people
199	2	one direction
200	2	waking everyday
201	2	favorite part
202	2	less hours
203	2	fun today
204	2	get around
205	2	things going
206	2	number #accounting
207	2	#accounting #absolutetosh
208	2	police officers
209	2	dont pay
210	2	full price
211	2	acting like
212	2	today awesome
214	2	worlds greatest
215	2	love seeing
216	2	isnt great
217	2	look really
218	2	every year
219	2	big deal
220	2	stomach upset
221	2	people read
222	2	private message
224	2	open presents
225	2	white people
226	2	awesome always
227	2	old man
228	2	telling people
229	2	feel safe
230	2	hour nap
231	2	ready work
232	2	fun day
233	2	western civ
234	2	finally get
235	2	makes perfect
236	2	picked great
238	2	oh youre
239	2	like ive
240	2	yeah thats
241	2	comic sans
242	2	good job
243	2	new job
244	2	great christmas
245	2	need start
246	2	hmmm wonder
247	2	pink eye
248	2	million bucks
249	2	people dont
250	2	best cant
251	2	happy monday
252	2	hate mondays
253	2	christmas gift
254	2	use one
255	2	know money
256	2	like waking
257	2	yup thats
258	2	thats nice
259	2	lots great
260	2	favorite thing
261	2	like children
262	2	need new
263	2	next weeks
264	2	good day
265	2	morning skate
266	2	day one
267	2	one mine
268	2	think youre
269	2	great person
270	2	yeah totally
271	2	like fun
272	2	last minute
273	2	work today
274	2	love family
275	2	fan natural
276	2	wow thats
277	2	didnt know
278	2	never even
279	2	burger king
283	2	waste time
284	2	know people
285	2	dont like
286	2	want right
287	2	day row
288	2	work thanks
289	2	great feeling
290	2	love wide
291	2	parking ticket
292	2	nobel prize
293	2	beautiful day
294	2	thanks good
295	2	news thanks
296	2	one year
297	2	nothing better
298	2	half hour
299	2	id rather
300	2	brought justice
301	2	cannot wait
302	2	steve steve
303	2	cool guess
304	2	please help
305	2	cuban spies
306	2	sleep cant
307	2	cant get
308	2	like back
309	2	credit card
310	2	peaceful protest
311	2	oh god
312	2	really love
313	2	youre gonna
314	2	wait till
315	2	start working
316	2	much money
318	2	next two
319	2	two weeks
320	2	#ha #ha
321	2	fun next
323	2	dont let
324	2	qb position
325	2	see many
326	2	trying get
327	2	true patriots
328	2	glad work
329	2	years eve
330	2	isnt fun
331	2	third time
332	2	make money
333	2	time nice
334	2	makes sense
335	2	another one
336	2	many times
337	2	wait go
338	2	stuck traffic
339	2	love fact
340	2	firehouse restaurant
341	2	everyone else
342	2	player ever
343	2	sound like
344	2	work enjoy
345	2	would like
346	2	cant find
348	2	cant stop
349	2	works would
350	2	wow feel
351	2	getting paid
352	2	broken broken
353	2	ive heard
354	2	girls put
355	2	much better
356	2	good times
357	2	century fox
358	2	soooo much
359	2	xbox one
360	2	get bus
361	2	next month
362	2	go get
363	2	work done
364	2	fun stuff
365	2	weather bomb
366	2	thats real
367	2	sooooo interesting
369	2	pushes people
370	2	bus thanks
371	2	another new
372	2	insurance company
373	2	thats going
374	2	dont see
375	2	throwing always
376	2	sounds fun
377	2	fell asleep
378	2	love guys
379	2	quality time
380	2	search google
381	2	exactly need
382	2	getting sick
383	2	wait wait
384	1	sweet united
385	1	united nations
386	1	nations video
387	1	video time
388	1	time christmas
389	1	christmas #imagine
390	1	#imagine #noreligion
391	1	#noreligion httptcofejvoubr
392	1	httptcofejvoubr mrdahl
393	1	mrdahl rumored
394	1	rumored talked
395	1	talked ervs
396	1	ervs agent
397	1	agent angels
398	1	angels asked
399	1	asked ed
400	1	ed escobar
401	1	escobar thats
402	1	thats hardly
403	1	hardly nothing
404	1	nothing hey
405	1	hey nice
406	1	see minnesotand
407	1	minnesotand winter
408	1	winter weather
409	1	weather cant
410	1	cant breathe
411	1	breathe chosen
412	1	chosen notable
413	1	notable quote
414	1	quote year
415	1	year annual
416	1	annual list
417	1	list released
418	1	released yale
419	1	yale university
420	1	university librarian
421	1	librarian nothing
422	1	makes happier
423	1	happier getting
424	1	getting highway
425	1	highway seeing
426	1	seeing break
427	1	break lights
428	1	lights light
429	1	light like
430	1	like christmas
431	1	christmas tree
432	1	tree oh
433	1	oh thank
434	1	god entire
435	1	entire office
436	1	office email
437	1	email system
438	1	system day
439	1	day big
440	1	big event
441	1	event santa
442	1	santa know
443	1	know get
444	1	get xmas
445	1	xmas great
446	1	great youre
447	1	youre mobile
448	1	mobile bill
449	1	bill arrives
450	1	arrives text
451	1	text crushes
452	1	crushes great
453	1	great realize
454	1	realize theyll
455	1	theyll never
456	1	never interested
457	1	interested p
458	1	p buffalo
459	1	buffalo sports
460	1	sports media
461	1	media smarter
462	1	smarter us
463	1	us else
464	1	else get
465	1	get quality
466	1	quality insight
467	1	insight offered
468	1	offered harrington
469	1	harrington busgaglia
470	1	busgaglia yankeeswfan
471	1	yankeeswfan kenrosenthal
472	1	kenrosenthal trading
473	1	trading sp
474	1	sp defenseonly
475	1	defenseonly ss
476	1	ss brilliant
477	1	brilliant trade
478	1	trade darklightdave
479	1	darklightdave trying
480	1	trying find
481	1	find us
482	1	us battery
483	1	battery died
484	1	died guess
485	1	guess found
486	1	found us
487	1	us yes
488	1	yes bastard
489	1	bastard wand
490	1	wand deputymartinski
491	1	deputymartinski please
492	1	please doi
493	1	doi need
494	1	need second
495	1	second hand
496	1	hand embarrassment
497	1	embarrassment desperatly
498	1	desperatly phone
499	1	phone ywtorres
500	1	ywtorres time
501	1	time hit
502	1	hit books
503	1	books love
504	1	winter mornings
507	1	best feeling
508	1	feeling everrrrrrr
509	1	everrrrrrr smh
510	1	smh never
511	1	never knew
512	1	knew something
513	1	something could
514	1	could halalbeen
515	1	halalbeen muslim
516	1	muslim whole
517	1	whole life
518	1	life somehow
519	1	somehow ive
520	1	learned something
521	1	something new
522	1	new guess
523	1	guess wonderful
524	1	starting work
525	1	work redsox
526	1	redsox guys
527	1	guys sure
528	1	sure screwed
529	1	screwed royally
530	1	royally happy
531	1	happy lester
532	1	lester brain
533	1	brain trust
534	1	trust sucks
535	1	sucks #nicejob
536	1	#nicejob #lestertochicago
537	1	#lestertochicago twig
538	1	twig sprig
539	1	sprig —
540	1	— sec
541	1	sec limit
542	1	limit new
543	1	new social
544	1	social video
545	1	video platform
546	1	platform #techtalk
547	1	#techtalk #editorspick
548	1	#editorspick #sillyvine
549	1	#sillyvine #tr
