Position	Frequency	n-gram
3	15	via reuters
4	9	cant wait
5	9	dont think
6	9	#notcies #eu
7	7	wwwmonstermmorpg com
9	6	dont know
10	6	dont want
11	6	looks like
12	6	new year
14	6	get paid
15	5	self protection
16	5	rbrnetwork theoldbreed
17	5	cant even
18	5	last night
19	5	new years
20	5	timowensby rbrnetwork
21	5	joehilgerman freeman
23	4	feel like
24	4	loyalty vs
25	4	vs self
26	4	dont understand
27	4	dont forget
28	4	ive ever
29	4	didnt know
30	4	ha ha
31	4	via themblog
32	4	doesnt get
33	4	next year
35	4	rbrnetwork dolphinman
36	4	smile smile
37	4	ive seen
38	4	youtube video
39	4	dolphinman josephwarrendr
40	4	cant believe
41	4	look like
42	4	app pays
43	4	merry christmas
44	3	think would
45	3	christmas day
46	3	protection loyalty
47	3	get started
48	3	go back
49	3	one day
50	3	gotta go
51	3	ananvii abptrocket
52	3	#a #good
54	3	#bbc #news
55	3	really need
56	3	need get
57	3	pretty sure
58	3	£ £
59	3	christmas gift
60	3	make money
61	3	happy birthday
62	3	follow monstermmorpg
64	3	justin coutopanda
65	3	needs go
66	3	year old
67	3	#is #the
68	3	u think
69	3	go home
70	3	miss u
71	3	beginning look
72	3	look lot
73	3	lot like
74	3	bad game
76	3	liked youtube
77	3	cant win
78	3	cant remember
79	3	last time
80	3	bad idea
81	3	dad would
82	3	theoldbreed dolphinman
83	3	josephwarrendr justin
84	3	doesnt mean
85	3	christmas sweater
86	3	rbrnetwork indyenigma
87	3	email invoice
88	3	need see
90	3	#notcias #eu
91	3	#eu #europ
92	3	know love
94	3	red sox
95	3	neilby parkzthedon
97	3	paid posting
98	2	would support
99	2	open christmas
100	2	day instead
101	2	hours end
102	2	never cared
103	2	wish could
104	2	whole life
105	2	waiting waiting
107	2	know get
108	2	lloydgallagher bigtant
109	2	people get
110	2	httptcoicpdcaonq #christmas
111	2	#christmas #gift
112	2	social media
113	2	dont even
114	2	even keep
115	2	way go
116	2	thank much
117	2	wont talk
118	2	one ever
119	2	might well
120	2	better get
122	2	think ive
123	2	ever seen
124	2	last year
125	2	hair looks
126	2	thing wrong
127	2	really want
129	2	still laughing
130	2	rbrnetwork freeman
131	2	freeman thelexzane
132	2	thelexzane ananvii
133	2	#it #is
134	2	#give #up
135	2	god bless
136	2	think know
137	2	song day
138	2	dcsportsgrl dragonflyjonez
139	2	n thats
140	2	prime minister
141	2	would nice
142	2	ill see
143	2	wrapping presents
144	2	happy new
145	2	read httptcohbeabhklw
146	2	httptcohbeabhklw news
147	2	com since
148	2	wearing different
149	2	got school
150	2	altruda tmjsteve
151	2	tampa bay
152	2	twitter account
153	2	really loving
154	2	story end
155	2	really excited
156	2	adambelz leeosp
157	2	leeosp vruno
159	2	wide awake
160	2	awake right
161	2	tell ya
162	2	excited tomorrow
163	2	well played
164	2	found wwwmonstermmorpg
165	2	#say #hi
166	2	race human
167	2	dolphinman theoldbreed
168	2	theoldbreed justin
169	2	#this #is
170	2	time get
171	2	need new
172	2	new boots
173	2	didnt think
174	2	things world
175	2	amaliearena #tampa
176	2	fall asleep
177	2	love team
178	2	find way
179	2	ever one
180	2	way start
181	2	penguins madagascar
182	2	caribbean girls
183	2	hotnostrilsrfun rapmonster
184	2	cleaning lady
185	2	oh crap
186	2	cant get
187	2	getting paid
188	2	restlessduncan srduncan
189	2	next time
190	2	dont worry
191	2	even though
192	2	theoldbreed realsmartguy
193	2	wwe k
194	2	christmas break
195	2	win em
196	2	youtube channel
197	2	doesnt understand
198	2	wont let
199	2	remember last
200	2	time saw
201	2	like christmas
202	2	year ago
203	2	freeman lifedll
204	2	lifedll abptrocket
205	2	abptrocket ananvii
206	2	pretty much
207	2	things ive
208	2	would made
209	2	lets forget
210	2	play game
211	2	look dont
212	2	hooks #ferguson
213	2	ive listened
214	2	keep seeing
215	2	ananvii joehilgerman
216	2	mehrtarar thei
217	2	protest ends
218	2	rights begin
