Position	Frequency	n-gram
1	1.8737080917569955	happy new year
2	1.8737080917569955	#diy #crafts please
3	1.8737080917569955	#crafts please rt
4	0.9368540458784977	less hours sleep
5	0.9368540458784977	back work tonight
6	0.9368540458784977	let us see
7	0.9368540458784977	go back work
8	0.9368540458784977	rt randalolson baby
9	0.9368540458784977	randalolson baby name
10	0.9368540458784977	baby name #dataviz
11	0.9368540458784977	name #dataviz source
12	0.46842702293924887	let us get
13	0.46842702293924887	oil gas sector
14	0.46842702293924887	let us go
15	0.0	great start day
16	0.0	getting better better
17	0.0	keeps getting better
18	0.0	great way start
19	0.0	way start morning
20	0.0	gonna great day
21	0.0	coin lecoincanard coin
22	0.0	love cold winter
23	0.0	asked god protect
24	0.0	god protect enemies
25	0.0	started losing friends
26	0.0	going wonderful day
27	0.0	thanks mother nature
28	0.0	going great day
29	0.0	love able sleep
30	0.0	road safety campaign
31	0.0	safety campaign donkey
32	0.0	campaign donkey killed
33	0.0	donkey killed car
34	0.0	sounds like great
35	0.0	always fun thing
36	0.0	love waking am
37	0.0	waking am everyday
38	0.0	number #accounting #absolutetosh
39	0.0	way start new
40	0.0	start new year
41	0.0	makes perfect sense
42	0.0	feel like million
43	0.0	like million bucks
44	0.0	nothing like waking
45	0.0	like much fun
46	0.0	love wide awake
47	0.0	wide awake am
48	0.0	two hours sleep
49	0.0	new year eve
50	0.0	lecoincanard coin lecoincanard
51	0.0	great start morning
52	0.0	way start day
53	0.0	sweet united nations
54	0.0	united nations video
55	0.0	nations video time
56	0.0	video time christmas
57	0.0	time christmas #imagine
58	0.0	christmas #imagine #noreligion
59	0.0	#imagine #noreligion httptcofejvoubr
60	0.0	#noreligion httptcofejvoubr mrdahl
61	0.0	httptcofejvoubr mrdahl rumored
62	0.0	mrdahl rumored talked
63	0.0	rumored talked erv
64	0.0	talked erv agent
65	0.0	erv agent angels
66	0.0	agent angels asked
67	0.0	angels asked ed
68	0.0	asked ed escobar
69	0.0	ed escobar hardly
70	0.0	escobar hardly nothing
71	0.0	hardly nothing hey
72	0.0	nothing hey nice
73	0.0	hey nice see
74	0.0	nice see minnesota
75	0.0	see minnesota nd
76	0.0	minnesota nd winter
77	0.0	nd winter weather
78	0.0	winter weather breathe
79	0.0	weather breathe chosen
80	0.0	breathe chosen notable
81	0.0	chosen notable quote
82	0.0	notable quote year
83	0.0	quote year annual
84	0.0	year annual list
85	0.0	annual list released
86	0.0	list released yale
87	0.0	released yale university
88	0.0	yale university librarian
89	0.0	university librarian nothing
90	0.0	librarian nothing makes
91	0.0	nothing makes happier
92	0.0	makes happier getting
93	0.0	happier getting highway
94	0.0	getting highway seeing
95	0.0	highway seeing break
96	0.0	seeing break lights
97	0.0	break lights light
98	0.0	lights light like
99	0.0	light like christmas
100	0.0	like christmas tree
101	0.0	christmas tree oh
102	0.0	tree oh thank
103	0.0	oh thank god
104	0.0	thank god entire
105	0.0	god entire office
106	0.0	entire office email
107	0.0	office email system
108	0.0	email system day
109	0.0	system day big
110	0.0	day big event
111	0.0	big event santa
112	0.0	event santa know
113	0.0	santa know get
114	0.0	know get xmas
115	0.0	get xmas great
116	0.0	xmas great mobile
117	0.0	great mobile bill
118	0.0	mobile bill arrives
119	0.0	bill arrives text
120	0.0	arrives text crushes
121	0.0	text crushes great
122	0.0	crushes great realize
123	0.0	great realize never
124	0.0	realize never interested
125	0.0	never interested p
126	0.0	interested p buffalo
127	0.0	p buffalo sports
128	0.0	buffalo sports media
129	0.0	sports media smarter
130	0.0	media smarter us
131	0.0	smarter us else
132	0.0	us else get
133	0.0	else get quality
134	0.0	get quality insight
135	0.0	quality insight offered
136	0.0	insight offered harrington
137	0.0	offered harrington busgaglia
138	0.0	harrington busgaglia yankeeswfan
139	0.0	busgaglia yankeeswfan kenrosenthal
140	0.0	yankeeswfan kenrosenthal trading
141	0.0	kenrosenthal trading sp
142	0.0	trading sp defense
143	0.0	sp defense ss
144	0.0	defense ss brilliant
145	0.0	ss brilliant trade
146	0.0	brilliant trade darklightdave
147	0.0	trade darklightdave trying
148	0.0	darklightdave trying find
149	0.0	trying find us
150	0.0	find us battery
151	0.0	us battery died
152	0.0	battery died guess
153	0.0	died guess found
154	0.0	guess found us
155	0.0	found us yes
156	0.0	us yes bastard
157	0.0	yes bastard wand
158	0.0	bastard wand deputymartinski
159	0.0	wand deputymartinski please
160	0.0	deputymartinski please need
161	0.0	please need second
162	0.0	need second hand
163	0.0	second hand embarrassment
164	0.0	hand embarrassment desperatly
165	0.0	embarrassment desperatly phone
166	0.0	desperatly phone ywtorres
167	0.0	phone ywtorres time
168	0.0	ywtorres time hit
169	0.0	time hit books
170	0.0	hit books love
171	0.0	books love cold
172	0.0	cold winter mornings
173	0.0	best feeling everrrrrrr
174	0.0	feeling everrrrrrr smh
175	0.0	everrrrrrr smh never
176	0.0	smh never knew
177	0.0	never knew something
178	0.0	knew something could
179	0.0	something could halal
180	0.0	could halal muslim
181	0.0	halal muslim whole
182	0.0	muslim whole life
183	0.0	whole life somehow
184	0.0	life somehow learned
185	0.0	somehow learned something
186	0.0	learned something new
187	0.0	something new guess
188	0.0	new guess wonderful
189	0.0	guess wonderful day
190	0.0	wonderful day starting
191	0.0	day starting work
192	0.0	starting work am
193	0.0	work am redsox
194	0.0	am redsox guys
195	0.0	redsox guys sure
196	0.0	guys sure screwed
197	0.0	sure screwed royally
198	0.0	screwed royally happy
199	0.0	royally happy lester
200	0.0	happy lester brain
201	0.0	lester brain trust
202	0.0	brain trust sucks
203	0.0	trust sucks #nicejob
204	0.0	sucks #nicejob #lestertochicago
205	0.0	#nicejob #lestertochicago twig
206	0.0	#lestertochicago twig sprig
207	0.0	twig sprig —
208	0.0	sprig — sec
209	0.0	— sec limit
210	0.0	sec limit new
211	0.0	limit new social
212	0.0	new social video
213	0.0	social video platform
214	0.0	video platform #techtalk
215	0.0	platform #techtalk #editorspick
216	0.0	#techtalk #editorspick #sillyvine
217	0.0	#editorspick #sillyvine #tr
218	0.0	#sillyvine #tr httpstcodmkcxpyzq
219	0.0	#tr httpstcodmkcxpyzq yay
220	0.0	httpstcodmkcxpyzq yay another
221	0.0	yay another work
222	0.0	another work am
223	0.0	work am day
224	0.0	physical therapy want
225	0.0	therapy want friday
