Position	Frequency	n-emoji
<<<<<<< HEAD
1	107.14285714285714	:smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:
2	71.42857142857143	:weary_cat_face: :face_screaming_in_fear: :weary_cat_face: :face_screaming_in_fear:
3	71.42857142857143	:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:
4	35.714285714285715	:dashing_away: :droplet: :sweat_droplets: :thumbs_down:
5	35.714285714285715	:flushed_face: :flushed_face: :flushed_face: :flushed_face:
6	35.714285714285715	:grinning_face_with_smiling_eyes: :winking_face_with_tongue: :face_with_tears_of_joy: :persevering_face:
7	35.714285714285715	:winking_face_with_tongue: :face_with_tears_of_joy: :persevering_face: :anxious_face_with_sweat:
8	35.714285714285715	:face_with_tears_of_joy: :persevering_face: :anxious_face_with_sweat: :tired_face:
9	35.714285714285715	:persevering_face: :anxious_face_with_sweat: :tired_face: :confounded_face:
10	35.714285714285715	:face_screaming_in_fear: :weary_cat_face: :face_screaming_in_fear: :weary_cat_face:
11	35.714285714285715	:face_with_tears_of_joy: :Santa_Claus: :face_with_tears_of_joy: :Santa_Claus:
12	35.714285714285715	:Santa_Claus: :face_with_tears_of_joy: :Santa_Claus: :face_with_tears_of_joy:
13	35.714285714285715	:face_with_tears_of_joy: :Santa_Claus: :face_with_tears_of_joy: :pistol:
14	35.714285714285715	:Santa_Claus: :face_with_tears_of_joy: :pistol: :pistol:
15	35.714285714285715	:person_tipping_hand: :face_with_tears_of_joy: :loudly_crying_face: :loudly_crying_face:
16	35.714285714285715	:face_with_tears_of_joy: :loudly_crying_face: :loudly_crying_face: :loudly_crying_face:
17	35.714285714285715	:face_with_medical_mask: :face_with_medical_mask: :face_with_medical_mask: :face_with_medical_mask:
18	35.714285714285715	:see-no-evil_monkey: :speak-no-evil_monkey: :speak-no-evil_monkey: :face_with_tears_of_joy:
19	35.714285714285715	:books: :open_book: :woman_dancing: :woman_dancing:
20	35.714285714285715	:open_book: :woman_dancing: :woman_dancing: :people_with_bunny_ears:
21	35.714285714285715	:face_with_tears_of_joy: :weary_face: :see-no-evil_monkey: :see-no-evil_monkey:
22	35.714285714285715	:weary_face: :see-no-evil_monkey: :see-no-evil_monkey: :see-no-evil_monkey:
23	35.714285714285715	:worried_face: :confused_face: :crying_face: :sleepy_face:
24	35.714285714285715	:confused_face: :crying_face: :sleepy_face: :disappointed_face:
=======
1	431.8181818181818	:person_raising_hand: :person_raising_hand: :person_raising_hand: :person_raising_hand:
2	68.18181818181819	:pouting_face: :pouting_face: :pouting_face: :pouting_face:
3	68.18181818181819	:tropical_drink: :tropical_drink: :tropical_drink: :tropical_drink:
4	22.727272727272727	:grinning_squinting_face: :Santa_Claus: :party_popper: :musical_notes:
5	22.727272727272727	:red_heart: :sparkles: :kiss_mark: :princess:
6	22.727272727272727	:sparkles: :kiss_mark: :princess: :woman_dancing:
7	22.727272727272727	:face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss:
8	22.727272727272727	:weary_face: :weary_face: :weary_face: :weary_face:
9	22.727272727272727	:grinning_face_with_smiling_eyes: :raising_hands: :trophy: :baseball:
10	22.727272727272727	:pistol: :pouting_face: :pouting_face: :pouting_face:
11	22.727272727272727	:thumbs_up: :Santa_Claus: :wrapped_gift: :Santa_Claus:
12	22.727272727272727	:smirking_face: :smiling_face_with_sunglasses: :smiling_face_with_sunglasses: :Christmas_tree:
13	22.727272727272727	:smiling_face_with_sunglasses: :smiling_face_with_sunglasses: :Christmas_tree: :Christmas_tree:
14	22.727272727272727	:smiling_face_with_sunglasses: :musical_score: :clapping_hands: :oncoming_fist:
15	22.727272727272727	:Santa_Claus: :wrapped_gift: :wrapped_gift: :Christmas_tree:
16	22.727272727272727	:oncoming_bus: :snowflake: :snowman_without_snow: :face_savoring_food:
17	22.727272727272727	:see-no-evil_monkey: :smiling_face: :smiling_face: :OK_hand:
18	22.727272727272727	:clapping_hands: :purple_heart: :backhand_index_pointing_right: :cross_mark:
19	22.727272727272727	:purple_heart: :backhand_index_pointing_right: :cross_mark: :heavy_large_circle:
20	22.727272727272727	:backhand_index_pointing_right: :cross_mark: :heavy_large_circle: :backhand_index_pointing_left:
21	22.727272727272727	:cross_mark: :heavy_large_circle: :backhand_index_pointing_left: :folded_hands:
22	22.727272727272727	:heavy_large_circle: :backhand_index_pointing_left: :folded_hands: :raising_hands:
>>>>>>> 2815e7afa34cb5f723cd75248646a4c4f0fc65c2
