Position	Relative Frequency	n-gram
1	9.157653745954054	love
2	5.999842109418173	great
3	4.341991000236836	fun
4	3.789373963843057	day
5	2.8420304728822927	oh
6	2.6051946001421014	work
7	2.4473040183153074	via
8	2.4473040183153074	rbrnetwork
9	2.2894134364885135	thanks
10	2.0525775637483226	well
11	1.9736322728349254	would
12	1.9736322728349254	people
13	1.8157416910081314	morning
14	1.8157416910081314	:unamused_face:
15	1.8157416910081314	yay
16	1.7367964000947342	think
17	1.7367964000947342	good
18	1.7367964000947342	:person_raising_hand:
19	1.6578511091813373	really
20	1.6578511091813373	start
21	1.6578511091813373	sleep
22	1.6578511091813373	hours
23	1.6578511091813373	wow
24	1.5789058182679403	wait
25	1.5789058182679403	nice
26	1.5789058182679403	working
27	1.5789058182679403	waking
28	1.4999605273545433	today
29	1.4210152364411464	check
30	1.3420699455277492	time
31	1.3420699455277492	rt
32	1.3420699455277492	getting
33	1.2631246546143522	im
34	1.2631246546143522	like
35	1.2631246546143522	#the
36	1.1841793637009552	going
37	1.1841793637009552	way
38	1.1841793637009552	follow
39	1.1841793637009552	#a
40	1.1841793637009552	reuters
41	1.1841793637009552	glad
42	1.1841793637009552	monday
43	1.1052340727875583	dont
44	1.1052340727875583	new
45	1.1052340727875583	cant
46	1.1052340727875583	make
47	1.1052340727875583	u
48	1.1052340727875583	tonight
49	1.1052340727875583	feel
50	1.1052340727875583	:face_blowing_a_kiss:
51	1.1052340727875583	school
52	1.1052340727875583	awesome
53	1.1052340727875583	hour
54	1.0262887818741613	right
55	1.0262887818741613	still
56	1.0262887818741613	need
57	1.0262887818741613	playing
58	1.0262887818741613	#is
59	1.0262887818741613	another
60	1.0262887818741613	super
61	1.0262887818741613	final
62	0.9473434909607642	look
63	0.9473434909607642	always
64	0.9473434909607642	nothing
65	0.9473434909607642	#eu
66	0.9473434909607642	yet
67	0.9473434909607642	job
68	0.9473434909607642	wonderful
69	0.8683982000473671	christmas
70	0.8683982000473671	ill
71	0.8683982000473671	anything
72	0.8683982000473671	long
73	0.8683982000473671	:beaming_face_with_smiling_eyes:
74	0.8683982000473671	youtube
75	0.8683982000473671	understand
76	0.8683982000473671	big
77	0.8683982000473671	theoldbreed
78	0.8683982000473671	#to
79	0.8683982000473671	:purple_heart:
80	0.8683982000473671	service
81	0.7894529091339701	hope
82	0.7894529091339701	could
83	0.7894529091339701	p
84	0.7894529091339701	w
85	0.7894529091339701	:pouting_face:
86	0.7894529091339701	#love
87	0.7894529091339701	seen
88	0.7894529091339701	x
89	0.7894529091339701	ananvii
90	0.7894529091339701	dolphinman
91	0.7894529091339701	finals
92	0.7105076182205732	find
93	0.7105076182205732	lot
94	0.7105076182205732	someone
95	0.7105076182205732	girl
96	0.7105076182205732	n
97	0.7105076182205732	vs
98	0.7105076182205732	thank
99	0.7105076182205732	makes
100	0.7105076182205732	funny
101	0.7105076182205732	#notcies
102	0.7105076182205732	freeman
103	0.7105076182205732	car
104	0.7105076182205732	timowensby
105	0.7105076182205732	talk
106	0.7105076182205732	sick
107	0.7105076182205732	half
108	0.7105076182205732	police
109	0.7105076182205732	:flushed_face:
110	0.7105076182205732	far
111	0.7105076182205732	write
112	0.7105076182205732	totally
113	0.7105076182205732	:expressionless_face:
114	0.6315623273071761	year
115	0.6315623273071761	lol
116	0.6315623273071761	every
117	0.6315623273071761	free
118	0.6315623273071761	tomorrow
119	0.6315623273071761	doesnt
120	0.6315623273071761	please
121	0.6315623273071761	end
122	0.6315623273071761	wont
123	0.6315623273071761	change
124	0.6315623273071761	whats
125	0.6315623273071761	win
126	0.6315623273071761	birthday
127	0.6315623273071761	:red_heart:
128	0.6315623273071761	:OK_hand:
129	0.6315623273071761	idea
130	0.6315623273071761	literally
131	0.6315623273071761	bc
132	0.6315623273071761	feeling
133	0.6315623273071761	yes
134	0.6315623273071761	theres
135	0.6315623273071761	com
136	0.6315623273071761	#new
137	0.6315623273071761	early
138	0.6315623273071761	hes
139	0.6315623273071761	times
140	0.6315623273071761	excited
141	0.6315623273071761	around
142	0.6315623273071761	class
143	0.6315623273071761	lovely
144	0.6315623273071761	using
145	0.6315623273071761	able
146	0.6315623273071761	fix
147	0.5526170363937791	:face_with_tears_of_joy:
