Position	Relative Frequency	emoji
1	120.0	:person_raising_hand: :person_raising_hand:
2	40.0	:face_with_tears_of_joy: :face_with_tears_of_joy:
3	34.285714285714285	:pouting_face: :pouting_face:
4	34.285714285714285	:face_blowing_a_kiss: :face_blowing_a_kiss:
5	28.571428571428573	:tropical_drink: :tropical_drink:
6	22.857142857142858	:OK_hand: :OK_hand:
7	17.142857142857142	:grinning_squinting_face: :grinning_squinting_face:
8	17.142857142857142	:Santa_Claus: :wrapped_gift:
9	17.142857142857142	:oncoming_fist: :oncoming_fist:
10	11.428571428571429	:smiling_face_with_heart-eyes: :face_blowing_a_kiss:
11	11.428571428571429	:clapping_hands: :clapping_hands:
12	11.428571428571429	:squinting_face_with_tongue: :squinting_face_with_tongue:
13	11.428571428571429	:purple_heart: :two_hearts:
14	11.428571428571429	:fire: :fire:
15	11.428571428571429	:grinning_face_with_sweat: :grinning_face_with_sweat:
16	11.428571428571429	:purple_heart: :purple_heart:
17	5.714285714285714	:weary_face: :weary_face:
18	5.714285714285714	:red_heart: :red_heart:
19	5.714285714285714	:astonished_face: :face_with_tears_of_joy:
20	5.714285714285714	:globe_showing_Asia-Australia: :airplane:
21	5.714285714285714	:face_blowing_a_kiss: :flushed_face:
22	5.714285714285714	:sun: :musical_notes:
23	5.714285714285714	:grinning_squinting_face: :Santa_Claus:
24	5.714285714285714	:Santa_Claus: :party_popper:
25	5.714285714285714	:party_popper: :musical_notes:
26	5.714285714285714	:wine_glass: :wine_glass:
27	5.714285714285714	:nail_polish: :person_gesturing_NO:
28	5.714285714285714	:person_gesturing_NO: :person_tipping_hand:
29	5.714285714285714	:confused_face: :wrapped_gift:
30	5.714285714285714	:hundred_points: :basketball:
31	5.714285714285714	:smiling_face_with_heart-eyes: :face_with_tears_of_joy:
32	5.714285714285714	:grinning_face_with_smiling_eyes: :grinning_face_with_smiling_eyes:
33	5.714285714285714	:red_heart: :sparkles:
34	5.714285714285714	:sparkles: :kiss_mark:
35	5.714285714285714	:kiss_mark: :princess:
36	5.714285714285714	:princess: :woman_dancing:
37	5.714285714285714	:face_with_tears_of_joy: :kiss_mark:
38	5.714285714285714	:kiss_mark: :red_heart:
39	5.714285714285714	:cat_face: :dog_face:
40	5.714285714285714	:sweat_droplets: :droplet:
41	5.714285714285714	:thumbs_up: :OK_hand:
42	5.714285714285714	:pouting_face: :person_gesturing_NO:
43	5.714285714285714	:smiling_face: :beaming_face_with_smiling_eyes:
44	5.714285714285714	:smiling_face: :Christmas_tree:
45	5.714285714285714	:sleeping_face: :SOS_button:
46	5.714285714285714	:oncoming_fist: :flexed_biceps:
47	5.714285714285714	:grinning_face_with_smiling_eyes: :raising_hands:
48	5.714285714285714	:raising_hands: :trophy:
49	5.714285714285714	:trophy: :baseball:
50	5.714285714285714	:pistol: :pouting_face:
51	5.714285714285714	:red_heart: :party_popper:
52	5.714285714285714	:face_with_tears_of_joy: :smiling_cat_face_with_heart-eyes:
