Position	Relative Frequency	emoji
1	107.14285714285714	:person_raising_hand: :person_raising_hand:
2	91.83673469387755	:face_with_tears_of_joy: :face_with_tears_of_joy:
3	35.714285714285715	:pouting_face: :pouting_face:
4	30.612244897959183	:face_blowing_a_kiss: :face_blowing_a_kiss:
5	25.510204081632654	:tropical_drink: :tropical_drink:
6	20.408163265306122	:OK_hand: :OK_hand:
7	15.306122448979592	:grinning_squinting_face: :grinning_squinting_face:
8	15.306122448979592	:Santa_Claus: :wrapped_gift:
9	15.306122448979592	:weary_face: :weary_face:
10	15.306122448979592	:oncoming_fist: :oncoming_fist:
11	10.204081632653061	:smiling_face_with_heart-eyes: :face_blowing_a_kiss:
12	10.204081632653061	:loudly_crying_face: :loudly_crying_face:
13	10.204081632653061	:clapping_hands: :clapping_hands:
14	10.204081632653061	:squinting_face_with_tongue: :squinting_face_with_tongue:
15	10.204081632653061	:purple_heart: :two_hearts:
16	10.204081632653061	:fire: :fire:
17	10.204081632653061	:grinning_face_with_sweat: :grinning_face_with_sweat:
18	10.204081632653061	:purple_heart: :purple_heart:
19	5.1020408163265305	:red_heart: :red_heart:
20	5.1020408163265305	:astonished_face: :face_with_tears_of_joy:
21	5.1020408163265305	:globe_showing_Asia-Australia: :airplane:
22	5.1020408163265305	:face_blowing_a_kiss: :flushed_face:
23	5.1020408163265305	:sun: :musical_notes:
24	5.1020408163265305	:grinning_squinting_face: :Santa_Claus:
25	5.1020408163265305	:Santa_Claus: :party_popper:
26	5.1020408163265305	:party_popper: :musical_notes:
27	5.1020408163265305	:wine_glass: :wine_glass:
28	5.1020408163265305	:nail_polish: :person_gesturing_NO:
29	5.1020408163265305	:person_gesturing_NO: :person_tipping_hand:
30	5.1020408163265305	:confused_face: :wrapped_gift:
31	5.1020408163265305	:hundred_points: :basketball:
32	5.1020408163265305	:smiling_face_with_heart-eyes: :face_with_tears_of_joy:
