Position	Relative Frequency	n-gram
1	1.3655872024970737	cant wait
2	0.7803355442840422	love waking
3	0.5852516582130316	hours sleep
4	0.5852516582130316	good thing
5	0.5852516582130316	great day
6	0.5852516582130316	dont know
7	0.5202236961893614	way start
8	0.5202236961893614	great start
9	0.5202236961893614	start day
10	0.5202236961893614	much fun
11	0.45519573416569126	nice see
12	0.45519573416569126	gotta love
13	0.45519573416569126	love working
14	0.45519573416569126	sounds like
15	0.45519573416569126	always fun
16	0.45519573416569126	looks like
17	0.3901677721420211	last night
18	0.3901677721420211	act like
19	0.3901677721420211	im glad
20	0.3901677721420211	nothing like
21	0.3901677721420211	great way
22	0.3901677721420211	im sure
23	0.3901677721420211	start morning
24	0.3251398101183509	last day
25	0.3251398101183509	wait see
26	0.3251398101183509	years ago
27	0.3251398101183509	well done
28	0.3251398101183509	im going
29	0.2601118480946807	thank god
30	0.2601118480946807	finals week
31	0.2601118480946807	oh yeah
32	0.2601118480946807	oh love
33	0.2601118480946807	well thats
34	0.2601118480946807	ive got
35	0.2601118480946807	feel like
36	0.2601118480946807	going great
37	0.2601118480946807	merry christmas
38	0.2601118480946807	start new
39	0.2601118480946807	im ready
40	0.2601118480946807	yet another
41	0.2601118480946807	wide awake
42	0.2601118480946807	theres nothing
43	0.2601118480946807	feeling like
44	0.2601118480946807	great job
45	0.2601118480946807	customer service
46	0.2601118480946807	dont love
47	0.2601118480946807	next year
48	0.2601118480946807	getting better
49	0.2601118480946807	better better
50	0.2601118480946807	looking forward
51	0.2601118480946807	get ready
52	0.2601118480946807	first day
53	0.2601118480946807	new years
54	0.2601118480946807	two hours
55	0.19508388607101054	love cold
56	0.19508388607101054	wonderful day
57	0.19508388607101054	work day
58	0.19508388607101054	going bed
59	0.19508388607101054	end well
60	0.19508388607101054	today going
61	0.19508388607101054	love people
62	0.19508388607101054	yeah im
63	0.19508388607101054	going fun
64	0.19508388607101054	give us
65	0.19508388607101054	xbox live
66	0.19508388607101054	love able
67	0.19508388607101054	able sleep
68	0.19508388607101054	absolutely love
69	0.19508388607101054	feel bad
70	0.19508388607101054	today fun
71	0.19508388607101054	back home
72	0.19508388607101054	fun thing
73	0.19508388607101054	far today
74	0.19508388607101054	im drinking
75	0.19508388607101054	course im
76	0.19508388607101054	social media
77	0.19508388607101054	christmas day
78	0.19508388607101054	cant sleep
79	0.19508388607101054	five minutes
80	0.19508388607101054	always wanted
81	0.19508388607101054	north korea
82	0.19508388607101054	year old
83	0.19508388607101054	christmas shopping
84	0.19508388607101054	new year
85	0.19508388607101054	fun love
86	0.19508388607101054	always nice
87	0.19508388607101054	every day
