Position	Relative Frequency	n-gram
1	1.2297241904315745	:person_raising_hand: :person_raising_hand:
2	1.0540493060842069	:face_with_tears_of_joy: :face_with_tears_of_joy:
3	0.878374421736839	via reuters
4	0.5270246530421034	cant wait
5	0.5270246530421034	dont think
6	0.5270246530421034	#notcies #eu
7	0.40990806347719155	wwwmonstermmorpg com
8	0.40990806347719155	:pouting_face: :pouting_face:
9	0.3513497686947356	dont know
10	0.3513497686947356	dont want
11	0.3513497686947356	looks like
12	0.3513497686947356	new year
13	0.3513497686947356	:face_blowing_a_kiss: :face_blowing_a_kiss:
14	0.3513497686947356	get paid
15	0.29279147391227967	self protection
16	0.29279147391227967	rbrnetwork theoldbreed
17	0.29279147391227967	cant even
18	0.29279147391227967	im still
19	0.29279147391227967	im going
20	0.29279147391227967	last night
21	0.29279147391227967	new years
22	0.29279147391227967	timowensby rbrnetwork
23	0.29279147391227967	joehilgerman freeman
24	0.29279147391227967	:tropical_drink: :tropical_drink:
25	0.23423317912982375	feel like
26	0.23423317912982375	loyalty vs
27	0.23423317912982375	vs self
28	0.23423317912982375	dont understand
29	0.23423317912982375	dont forget
30	0.23423317912982375	ive ever
31	0.23423317912982375	didnt know
32	0.23423317912982375	im gonna
33	0.23423317912982375	ha ha
34	0.23423317912982375	via themblog
35	0.23423317912982375	im really
36	0.23423317912982375	doesnt get
37	0.23423317912982375	next year
38	0.23423317912982375	:OK_hand: :OK_hand:
39	0.23423317912982375	rbrnetwork dolphinman
40	0.23423317912982375	smile smile
41	0.23423317912982375	ive seen
42	0.23423317912982375	youtube video
43	0.23423317912982375	dolphinman josephwarrendr
44	0.23423317912982375	think im
45	0.23423317912982375	cant believe
46	0.23423317912982375	look like
47	0.23423317912982375	app pays
48	0.23423317912982375	merry christmas
49	0.1756748843473678	think would
50	0.1756748843473678	christmas day
51	0.1756748843473678	protection loyalty
52	0.1756748843473678	get started
53	0.1756748843473678	go back
54	0.1756748843473678	one day
55	0.1756748843473678	gotta go
56	0.1756748843473678	ananvii abptrocket
57	0.1756748843473678	#a #good
58	0.1756748843473678	:grinning_squinting_face: :grinning_squinting_face:
59	0.1756748843473678	#bbc #news
60	0.1756748843473678	really need
61	0.1756748843473678	need get
62	0.1756748843473678	pretty sure
63	0.1756748843473678	£ £
64	0.1756748843473678	christmas gift
65	0.1756748843473678	make money
66	0.1756748843473678	happy birthday
67	0.1756748843473678	follow monstermmorpg
68	0.1756748843473678	:Santa_Claus: :wrapped_gift:
69	0.1756748843473678	justin coutopanda
70	0.1756748843473678	needs go
71	0.1756748843473678	year old
72	0.1756748843473678	#is #the
73	0.1756748843473678	u think
74	0.1756748843473678	go home
75	0.1756748843473678	im love
76	0.1756748843473678	miss u
77	0.1756748843473678	beginning look
78	0.1756748843473678	look lot
79	0.1756748843473678	lot like
80	0.1756748843473678	bad game
81	0.1756748843473678	:umbrella_with_rain_drops: 
82	0.1756748843473678	liked youtube
83	0.1756748843473678	cant win
84	0.1756748843473678	cant remember
85	0.1756748843473678	last time
86	0.1756748843473678	im ready
87	0.1756748843473678	bad idea
88	0.1756748843473678	dad would
89	0.1756748843473678	theoldbreed dolphinman
90	0.1756748843473678	josephwarrendr justin
91	0.1756748843473678	doesnt mean
92	0.1756748843473678	christmas sweater
93	0.1756748843473678	rbrnetwork indyenigma
94	0.1756748843473678	email invoice
95	0.1756748843473678	need see
96	0.1756748843473678	:weary_face: :weary_face:
97	0.1756748843473678	#notcias #eu
98	0.1756748843473678	#eu #europ
99	0.1756748843473678	:oncoming_fist: :oncoming_fist:
100	0.1756748843473678	red sox
101	0.1756748843473678	neilby parkzthedon
102	0.1756748843473678	:victory_hand: 
103	0.1756748843473678	paid posting
104	0.1756748843473678	guess im
105	0.11711658956491187	would support
106	0.11711658956491187	open christmas
107	0.11711658956491187	day instead
108	0.11711658956491187	hours end
109	0.11711658956491187	never cared
110	0.11711658956491187	wish could
111	0.11711658956491187	whole life
112	0.11711658956491187	waiting waiting
113	0.11711658956491187	lol :beaming_face_with_smiling_eyes:
114	0.11711658956491187	know get
115	0.11711658956491187	lloydgallagher bigtant
116	0.11711658956491187	people get
117	0.11711658956491187	httptcoicpdcaonq #christmas
118	0.11711658956491187	#christmas #gift
119	0.11711658956491187	social media
120	0.11711658956491187	dont even
121	0.11711658956491187	even keep
122	0.11711658956491187	way go
123	0.11711658956491187	thank much
124	0.11711658956491187	wont talk
125	0.11711658956491187	one ever
126	0.11711658956491187	might well
127	0.11711658956491187	better get
128	0.11711658956491187	:smiling_face_with_heart-eyes: :face_blowing_a_kiss:
129	0.11711658956491187	think ive
130	0.11711658956491187	ever seen
131	0.11711658956491187	last year
132	0.11711658956491187	hair looks
133	0.11711658956491187	thing wrong
134	0.11711658956491187	really want
135	0.11711658956491187	:loudly_crying_face: :loudly_crying_face:
136	0.11711658956491187	still laughing
137	0.11711658956491187	rbrnetwork freeman
138	0.11711658956491187	freeman thelexzane
139	0.11711658956491187	thelexzane ananvii
140	0.11711658956491187	#it #is
141	0.11711658956491187	#give #up
142	0.11711658956491187	god bless
143	0.11711658956491187	think know
144	0.11711658956491187	song day
145	0.11711658956491187	dcsportsgrl dragonflyjonez
146	0.11711658956491187	n thats
147	0.11711658956491187	prime minister
148	0.11711658956491187	would nice
149	0.11711658956491187	ill see
150	0.11711658956491187	wrapping presents
151	0.11711658956491187	happy new
152	0.11711658956491187	read httptcohbeabhklw
153	0.11711658956491187	httptcohbeabhklw news
154	0.11711658956491187	com since
155	0.11711658956491187	wearing different
156	0.11711658956491187	got school
157	0.11711658956491187	altruda tmjsteve
158	0.11711658956491187	tampa bay
159	0.11711658956491187	twitter account
160	0.11711658956491187	really loving
161	0.11711658956491187	story end
162	0.11711658956491187	say im
163	0.11711658956491187	really excited
164	0.11711658956491187	adambelz leeosp
165	0.11711658956491187	leeosp vruno
166	0.11711658956491187	:clapping_hands: :clapping_hands:
167	0.11711658956491187	wide awake
168	0.11711658956491187	awake right
169	0.11711658956491187	tell ya
170	0.11711658956491187	excited tomorrow
171	0.11711658956491187	well played
172	0.11711658956491187	found wwwmonstermmorpg
173	0.11711658956491187	#say #hi
174	0.11711658956491187	race human
175	0.11711658956491187	dolphinman theoldbreed
176	0.11711658956491187	theoldbreed justin
177	0.11711658956491187	#this #is
178	0.11711658956491187	time get
179	0.11711658956491187	need new
180	0.11711658956491187	new boots
181	0.11711658956491187	didnt think
182	0.11711658956491187	things world
183	0.11711658956491187	amaliearena #tampa
184	0.11711658956491187	fall asleep
185	0.11711658956491187	love team
186	0.11711658956491187	find way
187	0.11711658956491187	ever one
188	0.11711658956491187	way start
189	0.11711658956491187	penguins madagascar
190	0.11711658956491187	caribbean girls
191	0.11711658956491187	hotnostrilsrfun rapmonster
192	0.11711658956491187	cleaning lady
193	0.11711658956491187	oh crap
194	0.11711658956491187	cant get
195	0.11711658956491187	getting paid
196	0.11711658956491187	restlessduncan srduncan
197	0.11711658956491187	next time
198	0.11711658956491187	dont worry
199	0.11711658956491187	even though
200	0.11711658956491187	theoldbreed realsmartguy
201	0.11711658956491187	wwe k
202	0.11711658956491187	life im
203	0.11711658956491187	christmas break
204	0.11711658956491187	win em
205	0.11711658956491187	youtube channel
206	0.11711658956491187	doesnt understand
207	0.11711658956491187	wont let
208	0.11711658956491187	remember last
209	0.11711658956491187	time saw
210	0.11711658956491187	like christmas
211	0.11711658956491187	year ago
212	0.11711658956491187	freeman lifedll
213	0.11711658956491187	lifedll abptrocket
214	0.11711658956491187	abptrocket ananvii
215	0.11711658956491187	pretty much
216	0.11711658956491187	things ive
217	0.11711658956491187	would made
218	0.11711658956491187	lets forget
219	0.11711658956491187	play game
220	0.11711658956491187	look dont
221	0.11711658956491187	hooks #ferguson
222	0.11711658956491187	ive listened
223	0.11711658956491187	keep seeing
224	0.11711658956491187	ananvii joehilgerman
225	0.11711658956491187	mehrtarar thei
226	0.11711658956491187	protest ends
227	0.11711658956491187	rights begin
228	0.11711658956491187	begin cannot
229	0.11711658956491187	cannot take
230	0.11711658956491187	take right
231	0.11711658956491187	right earning
232	0.11711658956491187	earning livelihood
233	0.11711658956491187	livelihood free
234	0.11711658956491187	free movement
235	0.11711658956491187	#tmltalk #leafs
236	0.11711658956491187	boone pratt
237	0.11711658956491187	via youtube
238	0.11711658956491187	get drunk
239	0.11711658956491187	much better
240	0.11711658956491187	dressing gown
241	0.11711658956491187	sounds like
242	0.11711658956491187	real life
243	0.11711658956491187	dont say
244	0.11711658956491187	say anything
245	0.11711658956491187	rbrnetwork joehilgerman
246	0.11711658956491187	im good
247	0.11711658956491187	ugly christmas
248	0.11711658956491187	account worth
249	0.11711658956491187	things like
250	0.11711658956491187	id rather
251	0.11711658956491187	idea lol
252	0.11711658956491187	ill grin
253	0.11711658956491187	fuck u
254	0.11711658956491187	#tsu website
255	0.11711658956491187	website worth
256	0.11711658956491187	paid postinghttptcooxybfwwwb
257	0.11711658956491187	pretty good
258	0.11711658956491187	one else
259	0.11711658956491187	wont ever
260	0.11711658956491187	dont wanna
261	0.11711658956491187	post location
262	0.11711658956491187	tonybrown parkzthedon
263	0.11711658956491187	leave email
264	0.11711658956491187	please dont
265	0.11711658956491187	produce kinds
266	0.11711658956491187	kinds creative
267	0.11711658956491187	creative designs
268	0.11711658956491187	would make
269	0.11711658956491187	indyenigma calfreedommom
270	0.11711658956491187	shot dead
271	0.11711658956491187	dont mess
272	0.11711658956491187	sleep :sleeping_face:
273	0.11711658956491187	next person
274	0.11711658956491187	bavarianshady u
275	0.11711658956491187	#ferguson #ericgarner
276	0.11711658956491187	know keep
277	0.11711658956491187	hope great
278	0.11711658956491187	know love
279	0.11711658956491187	still love
280	0.11711658956491187	oh yeah
281	0.11711658956491187	name :smirking_face:
282	0.11711658956491187	day :face_with_tears_of_joy:
283	0.11711658956491187	already know
284	0.11711658956491187	santa juncker
285	0.11711658956491187	juncker bring
286	0.11711658956491187	bring gift
287	0.11711658956491187	gift healthier
288	0.11711658956491187	healthier eu
289	0.11711658956491187	go nogo
290	0.11711658956491187	im getting
291	0.11711658956491187	wants stay
292	0.11711658956491187	doesnt matter
293	0.11711658956491187	find one
294	0.11711658956491187	level badge
295	0.11711658956491187	badge untappd
296	0.11711658956491187	memphis pint
297	0.11711658956491187	pint dram
298	0.11711658956491187	thats due
299	0.11711658956491187	backs playing
300	0.11711658956491187	#new #year
301	0.11711658956491187	end fish
302	0.11711658956491187	fish discards
303	0.11711658956491187	discards delayed
304	0.11711658956491187	really sure
305	0.11711658956491187	th bowler
306	0.11711658956491187	enough time
307	0.11711658956491187	way live
308	0.11711658956491187	jodalatour foxnews
309	0.11711658956491187	different species
310	0.11711658956491187	harrythetech timowensby
311	0.11711658956491187	timowensby theoldbreed
312	0.11711658956491187	thats thats
313	0.11711658956491187	pays youseehttptcordlrugnie
314	0.11711658956491187	youseehttptcordlrugnie go
315	0.11711658956491187	go httpstcocpjzkegne
316	0.11711658956491187	winter break
317	0.11711658956491187	good game
318	0.11711658956491187	game bad
319	0.11711658956491187	go get
320	0.11711658956491187	isnt common
321	0.11711658956491187	cali roll
322	0.11711658956491187	get ahead
323	0.11711658956491187	long time
324	0.11711658956491187	ill check
325	0.11711658956491187	still one
326	0.11711658956491187	knitting scarf
327	0.11711658956491187	really dont
328	0.11711658956491187	love song
329	0.11711658956491187	great seasons
330	0.11711658956491187	#a #bad
331	0.11711658956491187	facial expression
332	0.11711658956491187	always forget
333	0.11711658956491187	happy christmas
334	0.11711658956491187	still cant
335	0.11711658956491187	rush rush
336	0.11711658956491187	dont get
337	0.11711658956491187	one free
338	0.11711658956491187	:squinting_face_with_tongue: :squinting_face_with_tongue:
339	0.11711658956491187	please rt
340	0.11711658956491187	youre good
341	0.11711658956491187	good morning
342	0.11711658956491187	parkzthedon tonybrown
343	0.11711658956491187	gazthegooner losdagooner
344	0.11711658956491187	geico commercial
345	0.11711658956491187	# #
346	0.11711658956491187	much easier
347	0.11711658956491187	u come
348	0.11711658956491187	might find
349	0.11711658956491187	freeman abptrocket
350	0.11711658956491187	body language
351	0.11711658956491187	visit site
352	0.11711658956491187	day day
353	0.11711658956491187	still wondering
354	0.11711658956491187	see see
355	0.11711658956491187	tomorrow :face_blowing_a_kiss:
356	0.11711658956491187	must b
357	0.11711658956491187	・ ・
358	0.11711658956491187	saturday night
359	0.11711658956491187	imaginary menagerie
360	0.11711658956491187	xmas blog
361	0.11711658956491187	blog feat
362	0.11711658956491187	feat intimissimiofficial
363	0.11711658956491187	read story
364	0.11711658956491187	story share
365	0.11711658956491187	share love
366	0.11711658956491187	#diy #craftsplease
367	0.11711658956491187	#craftsplease rt
368	0.11711658956491187	looking forward
369	0.11711658956491187	:purple_heart: :two_hearts:
370	0.11711658956491187	:fire: :fire:
371	0.11711658956491187	want get
372	0.11711658956491187	blog post
373	0.11711658956491187	post myfairdaily
374	0.11711658956491187	still need
375	0.11711658956491187	ill go
376	0.11711658956491187	week tomorrow
377	0.11711658956491187	dont like
378	0.11711658956491187	:grinning_face_with_sweat: :grinning_face_with_sweat:
379	0.11711658956491187	:purple_heart: :purple_heart:
380	0.11711658956491187	get free
381	0.11711658956491187	posting stuff
382	0.11711658956491187	stuff like
383	0.11711658956491187	go httptcojummwiayt
384	0.11711658956491187	ill take
385	0.11711658956491187	get back
386	0.11711658956491187	best thing
387	0.11711658956491187	p p
388	0.11711658956491187	lol cant
389	0.11711658956491187	last week
390	0.11711658956491187	elrufai elrufai
391	0.11711658956491187	im one
392	0.11711658956491187	dont give
393	0.11711658956491187	#its #a
394	0.11711658956491187	would go
395	0.11711658956491187	home page
396	0.05855829478245594	episodes left
397	0.05855829478245594	left im
398	0.05855829478245594	im dying
399	0.05855829478245594	dying youre
400	0.05855829478245594	youre never
401	0.05855829478245594	never old
402	0.05855829478245594	old footie
403	0.05855829478245594	footie pajamas
404	0.05855829478245594	pajamas httptcoelzgqsxyq
405	0.05855829478245594	httptcoelzgqsxyq opening
406	0.05855829478245594	opening first
407	0.05855829478245594	first beer
408	0.05855829478245594	beer gonna
409	0.05855829478245594	gonna long
410	0.05855829478245594	long nightday
411	0.05855829478245594	nightday adamklug
412	0.05855829478245594	adamklug think
413	0.05855829478245594	support guy
414	0.05855829478245594	guy knocked
415	0.05855829478245594	knocked daughter
416	0.05855829478245594	daughter rice
417	0.05855829478245594	rice doesnt
418	0.05855829478245594	doesnt deserve
419	0.05855829478245594	deserve support
420	0.05855829478245594	support samcguigan
421	0.05855829478245594	samcguigan allowed
422	0.05855829478245594	allowed open
423	0.05855829478245594	instead im
424	0.05855829478245594	im scrolling
425	0.05855829478245594	scrolling facebook
426	0.05855829478245594	facebook instagram
427	0.05855829478245594	instagram twitter
428	0.05855829478245594	twitter hours
429	0.05855829478245594	end accomplishing
430	0.05855829478245594	accomplishing nothing
431	0.05855829478245594	nothing targetzonept
432	0.05855829478245594	targetzonept :pouting_face:
433	0.05855829478245594	:pouting_face: bloody
434	0.05855829478245594	bloody isnt
435	0.05855829478245594	isnt upstairs
436	0.05855829478245594	upstairs getting
437	0.05855829478245594	getting changed
438	0.05855829478245594	changed cold
439	0.05855829478245594	cold warmth
440	0.05855829478245594	warmth suffuse
441	0.05855829478245594	suffuse ones
442	0.05855829478245594	ones cheeks
443	0.05855829478245594	cheeks pink
444	0.05855829478245594	pink colourtone
445	0.05855829478245594	colourtone understand
446	0.05855829478245594	understand underlying
447	0.05855829478245594	underlying difference
448	0.05855829478245594	difference texture
449	0.05855829478245594	texture guess
450	0.05855829478245594	guess cat
451	0.05855829478245594	cat also
452	0.05855829478245594	also lost
453	0.05855829478245594	lost pounds
454	0.05855829478245594	pounds went
455	0.05855829478245594	went vet
456	0.05855829478245594	vet ive
457	0.05855829478245594	ive feeding
458	0.05855829478245594	feeding times
459	0.05855829478245594	times day
460	0.05855829478245594	day #eating
461	0.05855829478245594	#eating #food
462	0.05855829478245594	#food #workingout
463	0.05855829478245594	#workingout never
464	0.05855829478245594	cared beyonce
465	0.05855829478245594	beyonce bc
466	0.05855829478245594	bc could
467	0.05855829478245594	could never
468	0.05855829478245594	never get
469	0.05855829478245594	get sense
470	0.05855829478245594	sense interviews
471	0.05855829478245594	interviews lacked
472	0.05855829478245594	lacked depth
473	0.05855829478245594	depth azealiabanks
474	0.05855829478245594	azealiabanks thothis
475	0.05855829478245594	thothis girl
476	0.05855829478245594	girl got
477	0.05855829478245594	got rushordertees
478	0.05855829478245594	rushordertees thxflw
479	0.05855829478245594	thxflw flwthemusic
480	0.05855829478245594	flwthemusic elektrikeventz
481	0.05855829478245594	elektrikeventz elektrikmetro
482	0.05855829478245594	elektrikmetro r
483	0.05855829478245594	r #elektrikbloom
484	0.05855829478245594	#elektrikbloom #elektrikfantasy
485	0.05855829478245594	#elektrikfantasy #iwantdrift
486	0.05855829478245594	#iwantdrift #elevtheunderground
487	0.05855829478245594	#elevtheunderground amazingly
488	0.05855829478245594	amazingly httptconeiozunbld
489	0.05855829478245594	httptconeiozunbld owned
490	0.05855829478245594	owned #bhp
491	0.05855829478245594	#bhp going
492	0.05855829478245594	going shell
493	0.05855829478245594	shell decent
494	0.05855829478245594	decent money
495	0.05855829478245594	money #bhpbilliton
496	0.05855829478245594	#bhpbilliton #south
497	0.05855829478245594	#south wish
498	0.05855829478245594	could told
499	0.05855829478245594	told nicolescherzy
500	0.05855829478245594	nicolescherzy #nicolescherzinger
501	0.05855829478245594	#nicolescherzinger #onelove
502	0.05855829478245594	#onelove #myfav
503	0.05855829478245594	#myfav #myqueen
504	0.05855829478245594	#myqueen :red_heart:
505	0.05855829478245594	:red_heart: :red_heart:
506	0.05855829478245594	:red_heart: httptcoquelfqyr
507	0.05855829478245594	httptcoquelfqyr rain
508	0.05855829478245594	rain made
509	0.05855829478245594	made extra
510	0.05855829478245594	extra extra
511	0.05855829478245594	extra lazy
512	0.05855829478245594	lazy :grinning_face_with_sweat:
513	0.05855829478245594	:grinning_face_with_sweat: great
514	0.05855829478245594	great summary
515	0.05855829478245594	summary year
516	0.05855829478245594	year got
517	0.05855829478245594	got june
518	0.05855829478245594	june th
519	0.05855829478245594	th weekend
520	0.05855829478245594	weekend hartswormx
521	0.05855829478245594	hartswormx birthday
522	0.05855829478245594	birthday #rivertrip
523	0.05855829478245594	#rivertrip #groupchat
524	0.05855829478245594	#groupchat see
525	0.05855829478245594	see might
526	0.05855829478245594	might show
527	0.05855829478245594	show background
528	0.05855829478245594	background check
529	0.05855829478245594	check youd
530	0.05855829478245594	youd denied
531	0.05855829478245594	denied catch
532	0.05855829478245594	catch right
533	0.05855829478245594	right self
534	0.05855829478245594	protection serpentina
535	0.05855829478245594	serpentina feel
536	0.05855829478245594	like whole
537	0.05855829478245594	life waiting
538	0.05855829478245594	waiting pureplaya
539	0.05855829478245594	pureplaya lol
540	0.05855829478245594	:beaming_face_with_smiling_eyes: let
541	0.05855829478245594	let kids
542	0.05855829478245594	kids know
543	0.05855829478245594	get morning
544	0.05855829478245594	morning thanks
545	0.05855829478245594	thanks tip
546	0.05855829478245594	tip #aussie
547	0.05855829478245594	#aussie #gunman
548	0.05855829478245594	#gunman #was
549	0.05855829478245594	#was #on
550	0.05855829478245594	#on terrorist
551	0.05855829478245594	terrorist #watch
552	0.05855829478245594	#watch #list
553	0.05855829478245594	#list pm
554	0.05855829478245594	pm #says
555	0.05855829478245594	#says sydney
556	0.05855829478245594	sydney –
557	0.05855829478245594	– gunman
558	0.05855829478245594	gunman took
559	0.05855829478245594	took hostages
560	0.05855829478245594	hostages sydney
561	0.05855829478245594	sydney httptcoibnxdptuw
562	0.05855829478245594	httptcoibnxdptuw heelteacher
563	0.05855829478245594	heelteacher achieve
564	0.05855829478245594	achieve seriouslyto
565	0.05855829478245594	seriouslyto firedall
566	0.05855829478245594	firedall guys
567	0.05855829478245594	guys balls
568	0.05855829478245594	balls call
