Position	Relative Frequency	n-gram
1	0.19190174630589138	cant wait see
2	0.1279344975372609	loyalty vs self
3	0.1279344975372609	vs self protection
4	0.1279344975372609	great start day
5	0.1279344975372609	getting better better
6	0.09595087315294569	self protection loyalty
7	0.09595087315294569	protection loyalty vs
8	0.09595087315294569	oil gas sector
9	0.09595087315294569	happy new year
10	0.09595087315294569	smile smile smile
11	0.09595087315294569	beginning look lot
12	0.09595087315294569	look lot like
13	0.09595087315294569	liked youtube video
14	0.09595087315294569	new years eve
15	0.09595087315294569	rbrnetwork theoldbreed dolphinman
16	0.09595087315294569	theoldbreed dolphinman josephwarrendr
17	0.09595087315294569	dolphinman josephwarrendr justin
18	0.09595087315294569	keeps getting better
19	0.09595087315294569	great way start
20	0.09595087315294569	way start morning
21	0.09595087315294569	#diy #craftsplease rt
22	0.09595087315294569	#notcias #eu #europ
23	0.09595087315294569	gonna great day
24	0.09595087315294569	coin lecoincanard coin
25	0.09595087315294569	get paid posting
26	0.06396724876863046	open christmas day
27	0.06396724876863046	love cold winter
28	0.06396724876863046	asked god protect
29	0.06396724876863046	god protect enemies
30	0.06396724876863046	started losing friends
31	0.06396724876863046	httptcoicpdcaonq #christmas #gift
32	0.06396724876863046	going wonderful day
33	0.06396724876863046	dont think ive
34	0.06396724876863046	think ive ever
35	0.06396724876863046	hair looks like
36	0.06396724876863046	im still laughing
37	0.06396724876863046	rbrnetwork freeman thelexzane
38	0.06396724876863046	freeman thelexzane ananvii
39	0.06396724876863046	thelexzane ananvii abptrocket
40	0.06396724876863046	dont think know
41	0.06396724876863046	thanks mother nature
42	0.06396724876863046	going great day
43	0.06396724876863046	love able sleep
44	0.06396724876863046	road safety campaign
45	0.06396724876863046	safety campaign donkey
46	0.06396724876863046	campaign donkey killed
47	0.06396724876863046	donkey killed car
48	0.06396724876863046	read httptcohbeabhklw news
49	0.06396724876863046	sounds like great
50	0.06396724876863046	always fun thing
51	0.06396724876863046	wwwmonstermmorpg com since
52	0.06396724876863046	im pretty sure
53	0.06396724876863046	im really excited
54	0.06396724876863046	adambelz leeosp vruno
55	0.06396724876863046	number #accounting #absolutetosh
56	0.06396724876863046	found wwwmonstermmorpg com
57	0.06396724876863046	rbrnetwork dolphinman theoldbreed
58	0.06396724876863046	way start new
59	0.06396724876863046	start new year
60	0.06396724876863046	makes perfect sense
61	0.06396724876863046	feel like million
62	0.06396724876863046	like million bucks
63	0.06396724876863046	cant win em
64	0.06396724876863046	nothing like waking
65	0.06396724876863046	cant remember last
66	0.06396724876863046	remember last time
67	0.06396724876863046	last time saw
68	0.06396724876863046	less hours sleep
69	0.06396724876863046	lot like christmas
70	0.06396724876863046	freeman lifedll abptrocket
71	0.06396724876863046	lifedll abptrocket ananvii
72	0.06396724876863046	like much fun
73	0.06396724876863046	josephwarrendr justin coutopanda
74	0.06396724876863046	ananvii joehilgerman freeman
75	0.06396724876863046	rights begin cannot
76	0.06396724876863046	begin cannot take
77	0.06396724876863046	cannot take right
78	0.06396724876863046	take right earning
79	0.06396724876863046	right earning livelihood
80	0.06396724876863046	earning livelihood free
81	0.06396724876863046	livelihood free movement
82	0.06396724876863046	dont say anything
83	0.06396724876863046	rbrnetwork joehilgerman freeman
84	0.06396724876863046	ugly christmas sweater
85	0.06396724876863046	back work tonight
86	0.06396724876863046	love wide awake
87	0.06396724876863046	#tsu website worth
88	0.06396724876863046	get paid postinghttptcooxybfwwwb
89	0.06396724876863046	leave email invoice
90	0.06396724876863046	produce kinds creative
91	0.06396724876863046	kinds creative designs
92	0.06396724876863046	timowensby rbrnetwork indyenigma
93	0.06396724876863046	rbrnetwork indyenigma calfreedommom
94	0.06396724876863046	santa juncker bring
95	0.06396724876863046	juncker bring gift
96	0.06396724876863046	bring gift healthier
97	0.06396724876863046	gift healthier eu
98	0.06396724876863046	level badge untappd
99	0.06396724876863046	memphis pint dram
100	0.06396724876863046	go back work
101	0.06396724876863046	end fish discards
102	0.06396724876863046	fish discards delayed
103	0.06396724876863046	two hours sleep
104	0.06396724876863046	new years day
105	0.06396724876863046	harrythetech timowensby theoldbreed
106	0.06396724876863046	start day im
107	0.06396724876863046	app pays youseehttptcordlrugnie
108	0.06396724876863046	pays youseehttptcordlrugnie go
109	0.06396724876863046	youseehttptcordlrugnie go httpstcocpjzkegne
110	0.06396724876863046	good game bad
111	0.06396724876863046	game bad game
112	0.06396724876863046	lecoincanard coin lecoincanard
113	0.06396724876863046	rt randalolson baby
114	0.06396724876863046	randalolson baby name
115	0.06396724876863046	still cant believe
116	0.06396724876863046	neilby parkzthedon tonybrown
117	0.06396724876863046	joehilgerman freeman abptrocket
118	0.06396724876863046	great start morning
119	0.06396724876863046	xmas blog feat
120	0.06396724876863046	blog feat intimissimiofficial
121	0.06396724876863046	read story share
122	0.06396724876863046	story share love
123	0.06396724876863046	ha ha ha
124	0.06396724876863046	throwing always fun
125	0.06396724876863046	way start day
126	0.06396724876863046	paid posting stuff
127	0.06396724876863046	posting stuff like
128	0.03198362438431523	sweet united nations
129	0.03198362438431523	united nations video
130	0.03198362438431523	nations video time
131	0.03198362438431523	video time christmas
132	0.03198362438431523	time christmas #imagine
133	0.03198362438431523	christmas #imagine #noreligion
134	0.03198362438431523	#imagine #noreligion httptcofejvoubr
135	0.03198362438431523	#noreligion httptcofejvoubr mrdahl
136	0.03198362438431523	httptcofejvoubr mrdahl rumored
137	0.03198362438431523	mrdahl rumored talked
138	0.03198362438431523	rumored talked ervs
139	0.03198362438431523	talked ervs agent
140	0.03198362438431523	ervs agent angels
141	0.03198362438431523	agent angels asked
142	0.03198362438431523	angels asked ed
143	0.03198362438431523	asked ed escobar
144	0.03198362438431523	ed escobar thats
145	0.03198362438431523	escobar thats hardly
146	0.03198362438431523	thats hardly nothing
147	0.03198362438431523	hardly nothing hey
148	0.03198362438431523	nothing hey nice
149	0.03198362438431523	hey nice see
150	0.03198362438431523	nice see minnesotand
151	0.03198362438431523	see minnesotand winter
152	0.03198362438431523	minnesotand winter weather
153	0.03198362438431523	winter weather episodes
154	0.03198362438431523	weather episodes left
155	0.03198362438431523	episodes left im
156	0.03198362438431523	left im dying
157	0.03198362438431523	im dying cant
158	0.03198362438431523	dying cant breathe
159	0.03198362438431523	cant breathe chosen
160	0.03198362438431523	breathe chosen notable
161	0.03198362438431523	chosen notable quote
162	0.03198362438431523	notable quote year
163	0.03198362438431523	quote year annual
164	0.03198362438431523	year annual list
165	0.03198362438431523	annual list released
166	0.03198362438431523	list released yale
167	0.03198362438431523	released yale university
168	0.03198362438431523	yale university librarian
169	0.03198362438431523	university librarian youre
170	0.03198362438431523	librarian youre never
171	0.03198362438431523	youre never old
172	0.03198362438431523	never old footie
173	0.03198362438431523	old footie pajamas
174	0.03198362438431523	footie pajamas httptcoelzgqsxyq
175	0.03198362438431523	pajamas httptcoelzgqsxyq nothing
176	0.03198362438431523	httptcoelzgqsxyq nothing makes
177	0.03198362438431523	nothing makes happier
178	0.03198362438431523	makes happier getting
179	0.03198362438431523	happier getting highway
180	0.03198362438431523	getting highway seeing
181	0.03198362438431523	highway seeing break
182	0.03198362438431523	seeing break lights
183	0.03198362438431523	break lights light
184	0.03198362438431523	lights light like
185	0.03198362438431523	light like christmas
186	0.03198362438431523	like christmas tree
187	0.03198362438431523	christmas tree opening
188	0.03198362438431523	tree opening first
189	0.03198362438431523	opening first beer
190	0.03198362438431523	first beer gonna
191	0.03198362438431523	beer gonna long
